Tran Date,Value Date,Transaction Particulars,Chq No,Debit,Credit,Balance
02-01-2023,02-01-2023,UPI/P2A/318429749339/anjalirao62@oksbi/PAY,318429749339,310.0,,116428.0
02-01-2023,02-01-2023,NEFT/CR/073834350145/PAYROLL,659254413089,,118000.0,234428.0
03-01-2023,03-01-2023,UPI/P2A/805657143695/poojasharm946@ybl/PAY,805657143695,3499.0,,230929.0
04-01-2023,04-01-2023,POS/2464/IOCL/MUMBAI,313553791858,1250.0,,229679.0
05-01-2023,05-01-2023,NEFT DR-HDFC0947365-VINAY PATIL-242375589293-RENT,166598728213,22000.0,,207679.0
09-01-2023,09-01-2023,BIL/INFT/077463095598/MEDPLUS/PAYMENT,077463095598,310.0,,207369.0
10-01-2023,10-01-2023,BIL/INFT/997554073399/BPCL/PAYMENT,997554073399,999.0,,206370.0
11-01-2023,11-01-2023,POS/6481/AMAZON/BANJARA HILLS,794004489067,249.0,,206121.0
14-01-2023,14-01-2023,ATM WDL/2312/HYDERABAD,814777345848,1250.0,,204871.0
17-01-2023,17-01-2023,IMPS/P2A/515596981549/NAVEENKUMAR/AXIS,515596981549,,1200.0,206071.0
17-01-2023,17-01-2023,UPI/P2A/508840556321/tarageorge19@okhdfcbank/PAY,508840556321,120.0,,205951.0
17-01-2023,17-01-2023,IMPS/P2A/263305358587/ARJUNMEHTA/AXIS,263305358587,,7500.0,213451.0
17-01-2023,17-01-2023,POS/4214/ZOMATO/JAYANAGAR,431968131008,5200.0,,208251.0
20-01-2023,20-01-2023,POS/9361/AIRTEL/KUKATPALLY,383518651616,310.0,,207941.0
22-01-2023,22-01-2023,ATM WDL/3438/MARATHAHALLI,451868577900,3499.0,,204442.0
23-01-2023,23-01-2023,ATM WDL/4715/MYSURU,984118202847,7800.0,,196642.0
23-01-2023,23-01-2023,UPI/P2A/444045006935/smitharao209@ybl/PAY,444045006935,850.0,,195792.0
24-01-2023,24-01-2023,BIL/INFT/306192339360/RELIANCE FRESH/PAYMENT,306192339360,449.0,,195343.0
24-01-2023,24-01-2023,BIL/INFT/004854278129/PVR CINEMAS/PAYMENT,004854278129,310.0,,195033.0
25-01-2023,25-01-2023,ATM WDL/8852/MANGALURU,310022250980,1680.0,,193353.0
27-01-2023,27-01-2023,BIL/INFT/839581866012/MEDPLUS/PAYMENT,839581866012,1680.0,,191673.0
01-02-2023,01-02-2023,NEFT/CR/827512924162/PAYROLL,320013876390,,118500.0,310173.0
01-02-2023,01-02-2023,POS/7698/HPCL/MUMBAI,651978180075,850.0,,309323.0
01-02-2023,01-02-2023,IMPS/P2A/031320875922/RAHULSINGH/AXIS,031320875922,,7500.0,316823.0
02-02-2023,02-02-2023,IMPS/P2A/372602808121/BABULAL/AXIS,372602808121,,1200.0,318023.0
03-02-2023,03-02-2023,NEFT DR-HDFC0348556-GOPAL NAIK-587950606351-RENT,807085560219,31000.0,,287023.0
03-02-2023,03-02-2023,BIL/INFT/750716629652/MEDPLUS/PAYMENT,750716629652,850.0,,286173.0
03-02-2023,03-02-2023,UPI/P2A/227994482834/anjalirao967@paytm/PAY,227994482834,49.0,,286124.0
04-02-2023,04-02-2023,ATM WDL/0840/KUKATPALLY,234467766687,249.0,,285875.0
04-02-2023,04-02-2023,ATM WDL/9938/KORAMANGALA,251809668887,999.0,,284876.0
07-02-2023,07-02-2023,UPI/P2A/939321618735/rahulsingh193@ybl/PAY,939321618735,449.0,,284427.0
08-02-2023,08-02-2023,UPI/P2A/479817967346/mohandas280@okaxis/PAY,479817967346,79.0,,284348.0
09-02-2023,09-02-2023,ATM WDL/4631/PUNE,488765990930,699.0,,283649.0
11-02-2023,11-02-2023,UPI/P2A/285486524470/rohitsharm955@okaxis/PAY,285486524470,850.0,,282799.0
12-02-2023,12-02-2023,BIL/INFT/706562610927/RELIANCE FRESH/PAYMENT,706562610927,3499.0,,279300.0
12-02-2023,12-02-2023,IMPS/P2A/313802536480/KIRANREDDY/AXIS,313802536480,,11200.0,290500.0
