Txn Date,Value Date,Particulars,Instrument ID,Debit,Credit,Balance
01/01/2023,01/01/2023,BIL/INFT/364049235690/OLA/PAYMENT,364049235690,999.0,,107355.0
01/01/2023,01/01/2023,BIL/INFT/757245136640/UBER/PAYMENT,757245136640,5200.0,,102155.0
02/01/2023,02/01/2023,UPI/184242504336/rajeshverm587@paytm/CNRB,184242504336,3499.0,,98656.0
03/01/2023,03/01/2023,NEFT CR-HDFC0977381-TECHNOVA SOLUTIONS-388639544468-SALARY KAVYA REDDY,556285207545,,62500.0,161156.0
03/01/2023,03/01/2023,BY TRANSFER/IMPS/225439387102/RAVI KUMAR/CNRB,225439387102,,7500.0,168656.0
03/01/2023,03/01/2023,BIL/INFT/267333773682/BOOKMYSHOW/PAYMENT,267333773682,850.0,,167806.0
04/01/2023,04/01/2023,UPI/020090395490/reshmakhan911@ybl/CNRB,020090395490,249.0,,167557.0
05/01/2023,05/01/2023,NEFT DR-HDFC0801838-AYESHA KHAN-673266354985-RENT,463457971652,22000.0,,145557.0
05/01/2023,05/01/2023,ATM WDL/4739/PUNE,973331756224,3499.0,,142058.0
06/01/2023,06/01/2023,UPI/966206448633/kavyareddy166@okaxis/CNRB,966206448633,249.0,,141809.0
06/01/2023,06/01/2023,UPI/595170902569/kavyareddy698@oksbi/CNRB,595170902569,120.0,,141689.0
08/01/2023,08/01/2023,UPI/828859943145/rajeshverm332@okaxis/CNRB,828859943145,120.0,,141569.0
09/01/2023,09/01/2023,UPI/201497128199/smitharao366@okhdfcbank/CNRB,201497128199,449.0,,141120.0
10/01/2023,10/01/2023,BIL/INFT/849260185220/BESCOM/PAYMENT,849260185220,1680.0,,139440.0
11/01/2023,11/01/2023,BY TRANSFER/IMPS/007208233218/GANESH KUMAR/CNRB,007208233218,,24000.0,163440.0
11/01/2023,11/01/2023,UPI/967801439885/kavyareddy529@okaxis/CNRB,967801439885,1680.0,,161760.0
11/01/2023,11/01/2023,ATM WDL/4171/SECUNDERABAD,076920493442,2380.0,,159380.0
12/01/2023,12/01/2023,BY TRANSFER/IMPS/573570862945/ROHIT SHARMA/CNRB,573570862945,,24000.0,183380.0
12/01/2023,12/01/2023,UPI/910093580513/priyanair898@paytm/CNRB,910093580513,3499.0,,179881.0
12/01/2023,12/01/2023,ATM WDL/4121/JAYANAGAR,461031081795,7800.0,,172081.0
