DATE,MODE**,PARTICULARS,DEPOSITS,WITHDRAWALS,BALANCE
01-01-2023,SALARY,NEFT-495598936778-TECHNOVA SOLUTIONS-SALARY-628984-HDFC0553124,78500.0,,242375.0
02-01-2023,UPI,UPI/261185671933/UPI/mohandas225@ybl/State Bank Of I/,,5200.0,237175.0
03-01-2023,BILL,BIL/INFT/228948400058/BOOKMYSHOW/PAYMENT,,7800.0,229375.0
04-01-2023,NEFT,NEFT DR-HDFC0272868-KAVYA REDDY-978432173472-RENT,,22000.0,207375.0
04-01-2023,OTHER ATMS,NFS/77963809/CASH WDL/04-01-23,,850.0,206525.0
05-01-2023,DEBIT CARD,VPS/OLA/186173517985/HSR LAYOUT,,310.0,206215.0
05-01-2023,MOBILE BANKING,MMT/IMPS/210018475208/ADITYA KUMAR/HDFC BANK LTD,500.0,,206715.0
07-01-2023,BILL,BIL/INFT/783773143568/IRCTC/PAYMENT,,120.0,206595.0
07-01-2023,BILL,BIL/INFT/626245965705/JIO/PAYMENT,,850.0,205745.0
08-01-2023,MOBILE BANKING,MMT/IMPS/627028995610/MOHAN DAS/HDFC BANK LTD,24000.0,,229745.0
08-01-2023,BILL,BIL/INFT/657810231028/OLA/PAYMENT,,449.0,229296.0
09-01-2023,UPI,UPI/697496229166/UPI/vikramnair630@okhdfcbank/State Bank Of I/,,699.0,228597.0
09-01-2023,OTHER ATMS,NFS/64829932/CASH WDL/09-01-23,,999.0,227598.0
09-01-2023,UPI,UPI/918045908772/UPI/priyanair811@paytm/State Bank Of I/,,2380.0,225218.0
10-01-2023,OTHER ATMS,NFS/90752830/CASH WDL/10-01-23,,7800.0,217418.0
11-01-2023,MOBILE BANKING,MMT/IMPS/566471224797/DEEPAK JOSHI/HDFC BANK LTD,11200.0,,228618.0
11-01-2023,NEFT,NEFT-783906173285-SOUTHERN RETAILS-REIMB-628984-HDFC0513531,24000.0,,252618.0
13-01-2023,OTHER ATMS,NFS/73933380/CASH WDL/13-01-23,,120.0,252498.0
13-01-2023,OTHER ATMS,NFS/33497818/CASH WDL/13-01-23,,5200.0,247298.0
13-01-2023,UPI,UPI/367765411103/UPI/sunilshett734@ybl/State Bank Of I/,,1250.0,246048.0
13-01-2023,OTHER ATMS,NFS/27593389/CASH WDL/13-01-23,,3499.0,242549.0
14-01-2023,OTHER ATMS,NFS/46925883/CASH WDL/14-01-23,,449.0,242100.0
14-01-2023,UPI,UPI/458595171571/UPI/rohitsharm830@okhdfcbank/State Bank Of I/,,249.0,241851.0
15-01-2023,MOBILE BANKING,MMT/IMPS/037660494669/MOHAN DAS/HDFC BANK LTD,1200.0,,243051.0
15-01-2023,MOBILE BANKING,MMT/IMPS/845931405201/RAMESH GOWDA/HDFC BANK LTD,2500.0,,245551.0
16-01-2023,BILL,BIL/INFT/012146197998/BESCOM/PAYMENT,,449.0,245102.0
16-01-2023,DEBIT CARD,VPS/DMART/002703065303/BTM LAYOUT,,2380.0,242722.0
16-01-2023,UPI,UPI/352227305858/UPI/poojasharm250@okaxis/State Bank Of I/,,5200.0,237522.0
17-01-2023,MOBILE BANKING,MMT/IMPS/915233999148/NAVEEN KUMAR/HDFC BANK LTD,18500.0,,256022.0
18-01-2023,UPI,UPI/679193239279/UPI/meerapilla950@okaxis/State Bank Of I/,,999.0,255023.0
19-01-2023,OTHER ATMS,NFS/38654871/CASH WDL/19-01-23,,999.0,254024.0
19-01-2023,BILL,BIL/INFT/922185143701/JIO/PAYMENT,,120.0,253904.0
20-01-2023,BILL,BIL/INFT/328766563288/IOCL/PAYMENT,,249.0,253655.0
20-01-2023,OTHER ATMS,NFS/99628864/CASH WDL/20-01-23,,2380.0,251275.0
