Date,Narration,Chq./Ref.No.,Value Dt,Withdrawal Amt.,Deposit Amt.,Closing Balance
01/01/23,FT - CR - 494582134231 - SALARY CREDIT,329229716128,01/01/23,,77250.0,173072.0
02/01/23,NWD-416021XXXXXX2380-S18986-BANJARA HILLS,373576741485,02/01/23,850.0,,172222.0
02/01/23,IMPS-591749238858-VINAYPATIL-HDFC-XXXXXXXXXX2221-PERSONAL,0000591749238858,02/01/23,,850.0,173072.0
04/01/23,UPI-045603111872-rahulsingh965@okaxis-OK,045603111872,04/01/23,1680.0,,171392.0
04/01/23,UPI-566988121130-poojasharm393@ybl-OK,566988121130,04/01/23,5200.0,,166192.0
05/01/23,NEFT DR-HDFC0396362-SANTOSH IYER-245806803502-RENT,632217014756,05/01/23,22000.0,,144192.0
05/01/23,UPI-292124061113-harishmeno963@okhdfcbank-OK,292124061113,05/01/23,49.0,,144143.0
05/01/23,NWD-416021XXXXXX0128-S18217-MANGALURU,794760677631,05/01/23,850.0,,143293.0
06/01/23,IB BILLPAY DR-HDFCPE-545964XXXXXX4034 IB615648232207,615648232207,06/01/23,310.0,,142983.0
06/01/23,POS 416021XXXXXX1234 RELIANCE FRESH POS DEBIT,024889858944,06/01/23,310.0,,142673.0
07/01/23,NWD-416021XXXXXX2608-S14626-PUNE,099483127164,07/01/23,850.0,,141823.0
07/01/23,POS 416021XXXXXX2038 IRCTC POS DEBIT,336731689098,07/01/23,120.0,,141703.0
07/01/23,IB BILLPAY DR-HDFCPE-545964XXXXXX2664 IB362401367835,362401367835,07/01/23,449.0,,141254.0
07/01/23,POS 416021XXXXXX7926 ZOMATO POS DEBIT,582862914450,07/01/23,3499.0,,137755.0
08/01/23,NWD-416021XXXXXX7755-S19340-PUNE,420855664886,08/01/23,1680.0,,136075.0
08/01/23,POS 416021XXXXXX4711 DMART POS DEBIT,039620266312,08/01/23,699.0,,135376.0
09/01/23,IB BILLPAY DR-HDFCPE-545964XXXXXX5024 IB623290162208,623290162208,09/01/23,120.0,,135256.0
09/01/23,UPI-750940966133-kavyareddy837@ybl-OK,750940966133,09/01/23,999.0,,134257.0
10/01/23,IMPS-364067355351-PRIYANAIR-HDFC-XXXXXXXXXX6428-PERSONAL,0000364067355351,10/01/23,,2500.0,136757.0
10/01/23,POS 416021XXXXXX1860 BOOKMYSHOW POS DEBIT,673989361598,10/01/23,1250.0,,135507.0
11/01/23,POS 416021XXXXXX8998 BESCOM POS DEBIT,003832021277,11/01/23,3499.0,,132008.0
11/01/23,NEFT-844504132833-SOUTHERN RETAILS-REIMB-448934-HDFC0954240,201455175479,11/01/23,,18500.0,150508.0
12/01/23,IB BILLPAY DR-HDFCPE-545964XXXXXX4378 IB883873606497,883873606497,12/01/23,310.0,,150198.0
12/01/23,IMPS-602867511372-RAVIKUMAR-HDFC-XXXXXXXXXX5198-PERSONAL,0000602867511372,12/01/23,,500.0,150698.0
12/01/23,IMPS-080428071247-NAVEENKUMAR-HDFC-XXXXXXXXXX3302-PERSONAL,0000080428071247,12/01/23,,2500.0,153198.0
12/01/23,POS 416021XXXXXX3625 FLIPKART POS DEBIT,492100312731,12/01/23,49.0,,153149.0
12/01/23,POS 416021XXXXXX1622 ZOMATO POS DEBIT,336091908780,12/01/23,79.0,,153070.0
13/01/23,NWD-416021XXXXXX4824-S12544-MANGALURU,675892852116,13/01/23,1680.0,,151390.0
14/01/23,POS 416021XXXXXX1763 UBER POS DEBIT,081561696553,14/01/23,699.0,,150691.0
16/01/23,UPI-636608148950-poojasharm436@paytm-OK,636608148950,16/01/23,1680.0,,149011.0
16/01/23,IB BILLPAY DR-HDFCPE-545964XXXXXX8179 IB512883938102,512883938102,16/01/23,1680.0,,147331.0
16/01/23,IB BILLPAY DR-HDFCPE-545964XXXXXX8675 IB135436007235,135436007235,16/01/23,3499.0,,143832.0
16/01/23,IMPS-624621788577-NADIAHUSSAIN-HDFC-XXXXXXXXXX7840-PERSONAL,0000624621788577,16/01/23,,500.0,144332.0
17/01/23,IMPS-280749094942-KIRANREDDY-HDFC-XXXXXXXXXX1789-PERSONAL,0000280749094942,17/01/23,,7500.0,151832.0
18/01/23,POS 416021XXXXXX7777 SWIGGY POS DEBIT,480579980529,18/01/23,999.0,,150833.0
18/01/23,IB BILLPAY DR-HDFCPE-545964XXXXXX0011 IB287007391832,287007391832,18/01/23,249.0,,150584.0
20/01/23,NWD-416021XXXXXX3153-S19416-KUKATPALLY,994861270691,20/01/23,850.0,,149734.0
21/01/23,POS 416021XXXXXX2717 ZOMATO POS DEBIT,537457052177,21/01/23,5200.0,,144534.0
21/01/23,POS 416021XXXXXX5450 SWIGGY POS DEBIT,960106139705,21/01/23,5200.0,,139334.0
22/01/23,NWD-416021XXXXXX2480-S18767-MARATHAHALLI,658435764430,22/01/23,120.0,,139214.0
22/01/23,NWD-416021XXXXXX6780-S14956-SECUNDERABAD,180002889355,22/01/23,449.0,,138765.0
22/01/23,IB BILLPAY DR-HDFCPE-545964XXXXXX3977 IB988294690468,988294690468,22/01/23,699.0,,138066.0
24/01/23,POS 416021XXXXXX9638 DMART POS DEBIT,281795303477,24/01/23,699.0,,137367.0
25/01/23,NWD-416021XXXXXX9756-S18003-KUKATPALLY,340821593099,25/01/23,79.0,,137288.0
