DATE,MODE**,PARTICULARS,DEPOSITS,WITHDRAWALS,BALANCE
02-01-2023,OTHER ATMS,NFS/62672818/CASH WDL/02-01-23,,2380.0,122755.0
02-01-2023,SALARY,NEFT-084037281714-TECHNOVA SOLUTIONS-SALARY-652740-HDFC0572256,62500.0,,185255.0
02-01-2023,DEBIT CARD,VPS/DMART/578486411545/KUKATPALLY,,2380.0,182875.0
02-01-2023,DEBIT CARD,VPS/SWIGGY/111925278103/PUNE,,310.0,182565.0
04-01-2023,BILL,BIL/INFT/741989074064/PVR CINEMAS/PAYMENT,,3499.0,179066.0
04-01-2023,NEFT,NEFT DR-HDFC0845709-MEERA PILLAI-952319877841-RENT,,31000.0,148066.0
05-01-2023,DEBIT CARD,VPS/JIO/162933300762/BTM LAYOUT,,79.0,147987.0
05-01-2023,UPI,UPI/644270155381/UPI/sunilshett734@okaxis/State Bank Of I/,,1680.0,146307.0
07-01-2023,UPI,UPI/737037777559/UPI/gopalnaik230@ybl/State Bank Of I/,,449.0,145858.0
07-01-2023,OTHER ATMS,NFS/81978550/CASH WDL/07-01-23,,79.0,145779.0
07-01-2023,BILL,BIL/INFT/909103000307/AMAZON/PAYMENT,,449.0,145330.0
08-01-2023,BILL,BIL/INFT/205342397563/APOLLO PHARMACY/PAYMENT,,3499.0,141831.0
08-01-2023,MOBILE BANKING,MMT/IMPS/702093698607/GOPAL VERMA/HDFC BANK LTD,1200.0,,143031.0
08-01-2023,DEBIT CARD,VPS/ZOMATO/670147262455/SECUNDERABAD,,449.0,142582.0
08-01-2023,NEFT,NEFT-264224526665-SOUTHERN RETAILS-REIMB-652740-HDFC0280105,24000.0,,166582.0
09-01-2023,MOBILE BANKING,MMT/IMPS/294580295659/RAJENDRA PRASAD/HDFC BANK LTD,7500.0,,174082.0
09-01-2023,DEBIT CARD,VPS/PVR CINEMA/999547108394/SECUNDERABAD,,699.0,173383.0
10-01-2023,UPI,UPI/429777710777/UPI/gopalnaik899@okaxis/State Bank Of I/,,999.0,172384.0
