Tran Date,Value Date,Transaction Particulars,Chq No,Debit,Credit,Balance
01-01-2023,01-01-2023,NEFT/CR/548219391087/PAYROLL,066530380324,,62000.0,305823.0
01-01-2023,01-01-2023,IMPS/P2A/804501084830/VENKATRAO/AXIS,804501084830,,4800.0,310623.0
04-01-2023,04-01-2023,ATM WDL/5136/KORAMANGALA,852408509370,3499.0,,307124.0
05-01-2023,05-01-2023,NEFT DR-HDFC0528762-MOHAN DAS-818665593370-RENT,937090946913,31000.0,,276124.0
05-01-2023,05-01-2023,IMPS/P2A/015298870000/MEENAIYER/AXIS,015298870000,,500.0,276624.0
06-01-2023,06-01-2023,IMPS/P2A/364793115168/NADIAHUSSAIN/AXIS,364793115168,,18500.0,295124.0
07-01-2023,07-01-2023,ATM WDL/7993/WHITEFIELD,860459477485,449.0,,294675.0
08-01-2023,08-01-2023,BIL/INFT/789061049071/UBER/PAYMENT,789061049071,3499.0,,291176.0
08-01-2023,08-01-2023,ATM WDL/4197/BTM LAYOUT,013286495497,120.0,,291056.0
08-01-2023,08-01-2023,POS/9410/BESCOM/WHITEFIELD,019803574982,449.0,,290607.0
09-01-2023,09-01-2023,POS/0949/OLA/MUMBAI,341228126306,120.0,,290487.0
10-01-2023,10-01-2023,BIL/INFT/641658005614/AIRTEL/PAYMENT,641658005614,310.0,,290177.0
11-01-2023,11-01-2023,BIL/INFT/433024882845/RELIANCE FRESH/PAYMENT,433024882845,2380.0,,287797.0
12-01-2023,12-01-2023,IMPS/P2A/540099813094/NAVEENKUMAR/AXIS,540099813094,,7500.0,295297.0
14-01-2023,14-01-2023,IMPS/P2A/538792080904/AYESHAKHAN/AXIS,538792080904,,500.0,295797.0
16-01-2023,16-01-2023,IMPS/P2A/105025304543/DEEPAKJOSHI/AXIS,105025304543,,24000.0,319797.0
17-01-2023,17-01-2023,ATM WDL/5102/MUMBAI,241279137999,79.0,,319718.0
17-01-2023,17-01-2023,BIL/INFT/705572138954/ZOMATO/PAYMENT,705572138954,1680.0,,318038.0
18-01-2023,18-01-2023,IMPS/P2A/513013767171/GEETADEVI/AXIS,513013767171,,1200.0,319238.0
19-01-2023,19-01-2023,UPI/P2A/239578470837/arjunmehta297@oksbi/PAY,239578470837,310.0,,318928.0
20-01-2023,20-01-2023,POS/9762/AMAZON/BTM LAYOUT,438757306217,699.0,,318229.0
