Date,Narration,Chq./Ref.No.,Value Dt,Withdrawal Amt.,Deposit Amt.,Closing Balance
02/01/23,IB BILLPAY DR-HDFCPE-545964XXXXXX3314 IB238375190017,238375190017,02/01/23,310.0,,201392.0
02/01/23,UPI-395465109975-divyamenon438@ybl-OK,395465109975,02/01/23,850.0,,200542.0
04/01/23,UPI-033397565701-tarageorge590@okhdfcbank-OK,033397565701,04/01/23,1250.0,,199292.0
05/01/23,UPI-432602149758-kiranreddy168@paytm-OK,432602149758,05/01/23,850.0,,198442.0
05/01/23,UPI-153434016882-tarageorge546@oksbi-OK,153434016882,05/01/23,120.0,,198322.0
06/01/23,IMPS-545660523707-ARCHANAPILLAI-HDFC-XXXXXXXXXX0234-PERSONAL,0000545660523707,06/01/23,,18500.0,216822.0
07/01/23,POS 416021XXXXXX2706 UBER POS DEBIT,026563024816,07/01/23,2380.0,,214442.0
12/01/23,IMPS-258017765146-FARHANKHAN-HDFC-XXXXXXXXXX5754-PERSONAL,0000258017765146,12/01/23,,11200.0,225642.0
13/01/23,NWD-416021XXXXXX0347-S16607-BANJARA HILLS,589137743075,13/01/23,999.0,,224643.0
15/01/23,NWD-416021XXXXXX9003-S16371-INDIRANAGAR,028858523087,15/01/23,120.0,,224523.0
16/01/23,IMPS-354721182106-SUNITADEVI-HDFC-XXXXXXXXXX6508-PERSONAL,0000354721182106,16/01/23,,24000.0,248523.0
16/01/23,UPI-210949128327-tarageorge740@okaxis-OK,210949128327,16/01/23,7800.0,,240723.0
19/01/23,UPI-525507560497-arjunmehta480@oksbi-OK,525507560497,19/01/23,850.0,,239873.0
20/01/23,IB BILLPAY DR-HDFCPE-545964XXXXXX8824 IB687565373788,687565373788,20/01/23,49.0,,239824.0
20/01/23,IB BILLPAY DR-HDFCPE-545964XXXXXX1479 IB896300217787,896300217787,20/01/23,1680.0,,238144.0
21/01/23,NWD-416021XXXXXX2624-S10903-HYDERABAD,209459902320,21/01/23,120.0,,238024.0
21/01/23,POS 416021XXXXXX9790 IRCTC POS DEBIT,235202848230,21/01/23,999.0,,237025.0
