Tran Date,Value Date,Transaction Particulars,Chq No,Debit,Credit,Balance
02-01-2023,02-01-2023,BIL/INFT/759038758795/PVR CINEMAS/PAYMENT,759038758795,79.0,,95799.0
03-01-2023,03-01-2023,NEFT/CR/751830665132/PAYROLL,047850174282,,32500.0,128299.0
03-01-2023,03-01-2023,NEFT DR-HDFC0209859-RESHMA KHAN-690207619768-RENT,968429227046,18000.0,,110299.0
03-01-2023,03-01-2023,POS/8096/APOLLO PHARMACY/MUMBAI,834087742941,3499.0,,106800.0
03-01-2023,03-01-2023,UPI/P2A/922807605876/kiranreddy295@oksbi/PAY,922807605876,850.0,,105950.0
04-01-2023,04-01-2023,UPI/P2A/076761473259/anjalirao829@ybl/PAY,076761473259,49.0,,105901.0
04-01-2023,04-01-2023,BIL/INFT/378031575760/AMAZON/PAYMENT,378031575760,850.0,,105051.0
04-01-2023,04-01-2023,UPI/P2A/893158189214/smitharao966@paytm/PAY,893158189214,3499.0,,101552.0
05-01-2023,05-01-2023,UPI/P2A/356837405574/arjunmehta464@okaxis/PAY,356837405574,3499.0,,98053.0
05-01-2023,05-01-2023,ATM WDL/7002/HSR LAYOUT,080354272838,3499.0,,94554.0
06-01-2023,06-01-2023,ATM WDL/8943/PUNE,253692212174,699.0,,93855.0
07-01-2023,07-01-2023,POS/3144/FLIPKART/KUKATPALLY,032063600624,999.0,,92856.0
07-01-2023,07-01-2023,UPI/P2A/327030704603/santoshiye286@ybl/PAY,327030704603,310.0,,92546.0
08-01-2023,08-01-2023,UPI/P2A/985974834553/lathadevi824@ybl/PAY,985974834553,7800.0,,84746.0
08-01-2023,08-01-2023,IMPS/P2A/806327909588/RAJESHVERMA/AXIS,806327909588,,1200.0,85946.0
09-01-2023,09-01-2023,IMPS/P2A/830179757603/USHARANI/AXIS,830179757603,,4800.0,90746.0
09-01-2023,09-01-2023,BIL/INFT/795594746788/SWIGGY/PAYMENT,795594746788,2380.0,,88366.0
09-01-2023,09-01-2023,UPI/P2A/472687552526/gopalnaik898@okaxis/PAY,472687552526,449.0,,87917.0
11-01-2023,11-01-2023,IMPS/P2A/560031728396/TARASINGH/AXIS,560031728396,,18500.0,106417.0
11-01-2023,11-01-2023,ATM WDL/4889/MANGALURU,787982721309,249.0,,106168.0
11-01-2023,11-01-2023,BIL/INFT/191333468423/FLIPKART/PAYMENT,191333468423,449.0,,105719.0
12-01-2023,12-01-2023,IMPS/P2A/457220848197/KIRANREDDY/AXIS,457220848197,,11200.0,116919.0
12-01-2023,12-01-2023,UPI/P2A/502052806612/lathadevi36@oksbi/PAY,502052806612,1250.0,,115669.0
12-01-2023,12-01-2023,UPI/P2A/792728929164/gopalnaik261@paytm/PAY,792728929164,1680.0,,113989.0
12-01-2023,12-01-2023,POS/5491/APOLLO PHARMACY/KUKATPALLY,000505015743,3499.0,,110490.0
13-01-2023,13-01-2023,ATM WDL/8075/WHITEFIELD,071811569542,5200.0,,105290.0
14-01-2023,14-01-2023,BIL/INFT/481041095715/RELIANCE FRESH/PAYMENT,481041095715,1250.0,,104040.0
15-01-2023,15-01-2023,UPI/P2A/619400627884/arjunmehta136@okhdfcbank/PAY,619400627884,1250.0,,102790.0
16-01-2023,16-01-2023,IMPS/P2A/212909367521/USHARANI/AXIS,212909367521,,11200.0,113990.0
16-01-2023,16-01-2023,POS/9304/BOOKMYSHOW/KORAMANGALA,748182832228,120.0,,113870.0
17-01-2023,17-01-2023,IMPS/P2A/834325596946/RESHMAKHAN/AXIS,834325596946,,24000.0,137870.0
17-01-2023,17-01-2023,IMPS/P2A/345770744062/KARTHIKMENON/AXIS,345770744062,,1200.0,139070.0
18-01-2023,18-01-2023,UPI/P2A/757673746871/poojasharm359@paytm/PAY,757673746871,449.0,,138621.0
18-01-2023,18-01-2023,BIL/INFT/159627260974/IRCTC/PAYMENT,159627260974,699.0,,137922.0
18-01-2023,18-01-2023,NEFT-571648600142-BENGALURU METRO SERVICES-REIMB-462046-HDFC0291799,329161875002,,24000.0,161922.0
18-01-2023,18-01-2023,BIL/INFT/131070494476/IRCTC/PAYMENT,131070494476,850.0,,161072.0
18-01-2023,18-01-2023,POS/4960/JIO/HSR LAYOUT,246349031130,1680.0,,159392.0
18-01-2023,18-01-2023,UPI/P2A/306160323517/arjunmehta975@okhdfcbank/PAY,306160323517,79.0,,159313.0
20-01-2023,20-01-2023,UPI/P2A/040065568060/meerapilla846@okaxis/PAY,040065568060,1680.0,,157633.0
21-01-2023,21-01-2023,BIL/INFT/672452396199/IRCTC/PAYMENT,672452396199,1680.0,,155953.0
21-01-2023,21-01-2023,ATM WDL/5837/HSR LAYOUT,839648223614,310.0,,155643.0
