Txn Date,Value Date,Particulars,Instrument ID,Debit,Credit,Balance
01/01/2023,01/01/2023,ATM WDL/6087/JAYANAGAR,707550292268,449.0,,176569.0
01/01/2023,01/01/2023,POS/3276/SWIGGY/HYDERABAD,932225408168,7800.0,,168769.0
02/01/2023,02/01/2023,BIL/INFT/584028331175/BOOKMYSHOW/PAYMENT,584028331175,310.0,,168459.0
02/01/2023,02/01/2023,NEFT CR-HDFC0587239-TECHNOVA SOLUTIONS-432125440188-SALARY SURESH NAIR,806510907760,,78000.0,246459.0
02/01/2023,02/01/2023,POS/5173/MEDPLUS/MARATHAHALLI,404991977636,850.0,,245609.0
04/01/2023,04/01/2023,POS/4776/JIO/MYSURU,768246984386,310.0,,245299.0
05/01/2023,05/01/2023,NEFT DR-HDFC0700237-MOHAN DAS-947480620189-RENT,922732392276,26500.0,,218799.0
05/01/2023,05/01/2023,ATM WDL/8006/PUNE,676472916605,3499.0,,215300.0
06/01/2023,06/01/2023,BIL/INFT/585988778036/ZOMATO/PAYMENT,585988778036,699.0,,214601.0
06/01/2023,06/01/2023,UPI/776154322802/rahulsingh692@ybl/CNRB,776154322802,449.0,,214152.0
07/01/2023,07/01/2023,POS/6360/IRCTC/KORAMANGALA,570257462509,699.0,,213453.0
08/01/2023,08/01/2023,UPI/427119284871/ayeshakhan602@ybl/CNRB,427119284871,850.0,,212603.0
09/01/2023,09/01/2023,BY TRANSFER/IMPS/071216187767/SURESH NAIR/CNRB,071216187767,,18500.0,231103.0
11/01/2023,11/01/2023,ATM WDL/9431/KORAMANGALA,664530395062,2380.0,,228723.0
13/01/2023,13/01/2023,BIL/INFT/010758430555/APOLLO PHARMACY/PAYMENT,010758430555,3499.0,,225224.0
14/01/2023,14/01/2023,POS/4256/BPCL/MANGALURU,184457996220,1250.0,,223974.0
15/01/2023,15/01/2023,POS/6406/IRCTC/WHITEFIELD,454066463295,1250.0,,222724.0
19/01/2023,19/01/2023,ATM WDL/9291/MUMBAI,790203111869,120.0,,222604.0
19/01/2023,19/01/2023,BIL/INFT/223957295685/BESCOM/PAYMENT,223957295685,3499.0,,219105.0
22/01/2023,22/01/2023,POS/8289/MEDPLUS/KUKATPALLY,974569635540,449.0,,218656.0
25/01/2023,25/01/2023,BY TRANSFER/IMPS/180809434359/ANITHA KRISHNAN/CNRB,180809434359,,24000.0,242656.0
27/01/2023,27/01/2023,ATM WDL/6081/MUMBAI,342069664499,249.0,,242407.0
02/02/2023,02/02/2023,NEFT CR-HDFC0580972-TECHNOVA SOLUTIONS-468950901958-SALARY SURESH NAIR,697475912593,,78000.0,320407.0
02/02/2023,02/02/2023,BIL/INFT/856681414949/IRCTC/PAYMENT,856681414949,5200.0,,315207.0
02/02/2023,02/02/2023,POS/4582/JIO/HYDERABAD,140107800475,449.0,,314758.0
04/02/2023,04/02/2023,UPI/855788522668/meerapilla741@paytm/CNRB,855788522668,1680.0,,313078.0
05/02/2023,05/02/2023,ATM WDL/5839/BTM LAYOUT,539979077659,120.0,,312958.0
05/02/2023,05/02/2023,ATM WDL/1661/HSR LAYOUT,195175446330,1250.0,,311708.0
06/02/2023,06/02/2023,NEFT DR-HDFC0303525-MOHAN DAS-408876739156-RENT,718394524796,18000.0,,293708.0
06/02/2023,06/02/2023,ATM WDL/7188/WHITEFIELD,378028555722,1250.0,,292458.0
06/02/2023,06/02/2023,POS/5866/IRCTC/BANJARA HILLS,080906238553,449.0,,292009.0
08/02/2023,08/02/2023,POS/1500/BPCL/HSR LAYOUT,529243896516,1250.0,,290759.0
09/02/2023,09/02/2023,BIL/INFT/204278291669/IOCL/PAYMENT,204278291669,79.0,,290680.0
12/02/2023,12/02/2023,BY TRANSFER/IMPS/586664416530/BABU LAL/CNRB,586664416530,,7500.0,298180.0
12/02/2023,12/02/2023,ATM WDL/0843/KORAMANGALA,771965038381,449.0,,297731.0
13/02/2023,13/02/2023,BIL/INFT/724490872872/MEDPLUS/PAYMENT,724490872872,699.0,,297032.0
13/02/2023,13/02/2023,BIL/INFT/811061576173/IRCTC/PAYMENT,811061576173,120.0,,296912.0
13/02/2023,13/02/2023,POS/7043/SWIGGY/MUMBAI,978020935552,850.0,,296062.0
17/02/2023,17/02/2023,UPI/326343259363/poojasharm785@paytm/CNRB,326343259363,999.0,,295063.0
18/02/2023,18/02/2023,POS/9396/HPCL/MYSURU,500666916892,1680.0,,293383.0
18/02/2023,18/02/2023,POS/3335/RELIANCE FRESH/MUMBAI,008400798237,1680.0,,291703.0
19/02/2023,19/02/2023,ATM WDL/3061/SECUNDERABAD,166025922505,3499.0,,288204.0
20/02/2023,20/02/2023,POS/8233/ZOMATO/KUKATPALLY,702313761095,3499.0,,284705.0
21/02/2023,21/02/2023,BY TRANSFER/IMPS/625018778638/ANITHA KRISHNAN/CNRB,625018778638,,24000.0,308705.0
21/02/2023,21/02/2023,UPI/756492854469/ayeshakhan586@ybl/CNRB,756492854469,699.0,,308006.0
23/02/2023,23/02/2023,POS/2016/JIO/WHITEFIELD,421779746580,1680.0,,306326.0
23/02/2023,23/02/2023,BIL/INFT/118042715260/BESCOM/PAYMENT,118042715260,449.0,,305877.0
23/02/2023,23/02/2023,UPI/265682025685/farhankhan552@ybl/CNRB,265682025685,2380.0,,303497.0
23/02/2023,23/02/2023,BY TRANSFER/IMPS/793970645445/VINAY PATIL/CNRB,793970645445,,18500.0,321997.0
26/02/2023,26/02/2023,BY TRANSFER/IMPS/073870762691/PRIYA NAIR/CNRB,073870762691,,1200.0,323197.0
01/03/2023,01/03/2023,BIL/INFT/072084003930/OLA/PAYMENT,072084003930,1250.0,,321947.0
02/03/2023,02/03/2023,BY TRANSFER/IMPS/080722574006/SUNIL YADAV/CNRB,080722574006,,1200.0,323147.0
02/03/2023,02/03/2023,BIL/INFT/089629993915/DMART/PAYMENT,089629993915,850.0,,322297.0
03/03/2023,03/03/2023,ATM WDL/7541/KUKATPALLY,320934387352,1680.0,,320617.0
03/03/2023,03/03/2023,NEFT CR-HDFC0330015-TECHNOVA SOLUTIONS-622706119593-SALARY SURESH NAIR,974142827663,,78500.0,399117.0
03/03/2023,03/03/2023,NEFT DR-HDFC0857825-SANTOSH IYER-112593219917-RENT,225513715862,31000.0,,368117.0
03/03/2023,03/03/2023,UPI/917692864065/mohandas927@oksbi/CNRB,917692864065,120.0,,367997.0
04/03/2023,04/03/2023,BY TRANSFER/IMPS/971674162522/ARJUN MEHTA/CNRB,971674162522,,500.0,368497.0
05/03/2023,05/03/2023,BIL/INFT/560434885260/IOCL/PAYMENT,560434885260,999.0,,367498.0
06/03/2023,06/03/2023,UPI/928617060168/vikramnair209@oksbi/CNRB,928617060168,79.0,,367419.0
08/03/2023,08/03/2023,BIL/INFT/652951768677/BPCL/PAYMENT,652951768677,120.0,,367299.0
09/03/2023,09/03/2023,POS/6101/RELIANCE FRESH/INDIRANAGAR,609362289639,999.0,,366300.0
12/03/2023,12/03/2023,POS/1255/AIRTEL/MUMBAI,352825362624,5200.0,,361100.0
12/03/2023,12/03/2023,UPI/621509640694/farhankhan624@oksbi/CNRB,621509640694,999.0,,360101.0
13/03/2023,13/03/2023,UPI/452245825112/arjunmehta792@oksbi/CNRB,452245825112,249.0,,359852.0
14/03/2023,14/03/2023,UPI/058221877236/tarageorge580@okhdfcbank/CNRB,058221877236,2380.0,,357472.0
15/03/2023,15/03/2023,ATM WDL/0412/BANJARA HILLS,965179876199,850.0,,356622.0
15/03/2023,15/03/2023,BY TRANSFER/IMPS/119967656874/HARISH MENON/CNRB,119967656874,,500.0,357122.0
17/03/2023,17/03/2023,BY TRANSFER/IMPS/945490729956/KAVERI MENON/CNRB,945490729956,,11200.0,368322.0
19/03/2023,19/03/2023,UPI/444008550883/reshmakhan846@oksbi/CNRB,444008550883,999.0,,367323.0
20/03/2023,20/03/2023,BIL/INFT/368449214764/JIO/PAYMENT,368449214764,79.0,,367244.0
21/03/2023,21/03/2023,POS/3490/JIO/INDIRANAGAR,252693091343,79.0,,367165.0
21/03/2023,21/03/2023,POS/4626/BPCL/KUKATPALLY,723062361114,7800.0,,359365.0
21/03/2023,21/03/2023,ATM WDL/9711/KORAMANGALA,633715252533,120.0,,359245.0
22/03/2023,22/03/2023,POS/2621/HPCL/PUNE,602186428048,120.0,,359125.0
22/03/2023,22/03/2023,POS/9455/BPCL/BTM LAYOUT,266648801723,699.0,,358426.0
23/03/2023,23/03/2023,BIL/INFT/086930537356/JIO/PAYMENT,086930537356,7800.0,,350626.0
25/03/2023,25/03/2023,CREDIT INTEREST CAPITALISED,460613240630,,226.45,350852.45
25/03/2023,25/03/2023,GST ON BANK CHARGES,476669326973,17.7,,350834.75
25/03/2023,25/03/2023,POS/0065/PVR CINEMAS/HSR LAYOUT,530359765987,850.0,,349984.75
25/03/2023,25/03/2023,POS/6716/ZOMATO/KORAMANGALA,198198925109,1250.0,,348734.75
27/03/2023,27/03/2023,BIL/INFT/067658100295/ZOMATO/PAYMENT,067658100295,2380.0,,346354.75
28/03/2023,28/03/2023,BIL/INFT/227449901869/JIO/PAYMENT,227449901869,1250.0,,345104.75
01/04/2023,01/04/2023,POS/4718/UBER/HSR LAYOUT,971058144008,249.0,,344855.75
01/04/2023,01/04/2023,UPI/656815082344/smitharao177@ybl/CNRB,656815082344,2380.0,,342475.75
01/04/2023,01/04/2023,POS/1847/OLA/INDIRANAGAR,256462416199,5200.0,,337275.75
01/04/2023,01/04/2023,BY TRANSFER/IMPS/597265739462/TANVI RAO/CNRB,597265739462,,2500.0,339775.75
01/04/2023,01/04/2023,BIL/INFT/935478436985/BPCL/PAYMENT,935478436985,999.0,,338776.75
01/04/2023,01/04/2023,BY TRANSFER/IMPS/893142670914/LALITHA DEVI/CNRB,893142670914,,850.0,339626.75
01/04/2023,01/04/2023,BIL/INFT/961905784200/SWIGGY/PAYMENT,961905784200,1680.0,,337946.75
02/04/2023,02/04/2023,ATM WDL/2956/INDIRANAGAR,046536480207,3499.0,,334447.75
02/04/2023,02/04/2023,NEFT CR-HDFC0180985-TECHNOVA SOLUTIONS-382470001363-SALARY SURESH NAIR,649012889251,,78000.0,412447.75
03/04/2023,03/04/2023,ATM WDL/3769/HYDERABAD,384455363933,310.0,,412137.75
04/04/2023,04/04/2023,NEFT DR-HDFC0304401-MOHAN DAS-160861562895-RENT,765444474400,31000.0,,381137.75
04/04/2023,04/04/2023,BIL/INFT/941993941565/OLA/PAYMENT,941993941565,699.0,,380438.75
05/04/2023,05/04/2023,POS/2427/PVR CINEMAS/PUNE,308137531833,120.0,,380318.75
07/04/2023,07/04/2023,UPI/389028347375/mohandas894@okhdfcbank/CNRB,389028347375,699.0,,379619.75
07/04/2023,07/04/2023,POS/3010/BOOKMYSHOW/BTM LAYOUT,330431521873,120.0,,379499.75
09/04/2023,09/04/2023,BY TRANSFER/IMPS/294891292198/ROHIT SHARMA/CNRB,294891292198,,7500.0,386999.75
09/04/2023,09/04/2023,BY TRANSFER/IMPS/425255546202/SHAHID KHAN/CNRB,425255546202,,11200.0,398199.75
09/04/2023,09/04/2023,BY TRANSFER/IMPS/834426512548/LATHA MURTHY/CNRB,834426512548,,11200.0,409399.75
10/04/2023,10/04/2023,POS/3204/APOLLO PHARMACY/SECUNDERABAD,825442424675,999.0,,408400.75
10/04/2023,10/04/2023,ATM WDL/0079/SECUNDERABAD,074170504915,999.0,,407401.75
12/04/2023,12/04/2023,UPI/029894666180/reshmakhan332@ybl/CNRB,029894666180,5200.0,,402201.75
13/04/2023,13/04/2023,UPI/181574504595/gopalnaik943@paytm/CNRB,181574504595,249.0,,401952.75
13/04/2023,13/04/2023,UPI/898777419717/smitharao746@ybl/CNRB,898777419717,310.0,,401642.75
17/04/2023,17/04/2023,BY TRANSFER/IMPS/631938920492/CHANDAN SHARMA/CNRB,631938920492,,1200.0,402842.75
17/04/2023,17/04/2023,BY TRANSFER/IMPS/859725833914/PRIYA NAIR/CNRB,859725833914,,850.0,403692.75
19/04/2023,19/04/2023,ATM WDL/9720/SECUNDERABAD,322380302407,2380.0,,401312.75
21/04/2023,21/04/2023,BIL/INFT/296997583740/BPCL/PAYMENT,296997583740,699.0,,400613.75
24/04/2023,24/04/2023,UPI/106798553863/tarageorge132@ybl/CNRB,106798553863,1680.0,,398933.75
24/04/2023,24/04/2023,POS/8721/APOLLO PHARMACY/MARATHAHALLI,332888053875,5200.0,,393733.75
26/04/2023,26/04/2023,UPI/470612870992/reshmakhan519@oksbi/CNRB,470612870992,5200.0,,388533.75
27/04/2023,27/04/2023,BY TRANSFER/IMPS/198514884873/SUNITA DEVI/CNRB,198514884873,,1200.0,389733.75
28/04/2023,28/04/2023,BIL/INFT/093744362193/HPCL/PAYMENT,093744362193,1680.0,,388053.75
03/05/2023,03/05/2023,ATM WDL/9663/MANGALURU,536344118222,999.0,,387054.75
03/05/2023,03/05/2023,NEFT CR-HDFC0483069-TECHNOVA SOLUTIONS-899028756750-SALARY SURESH NAIR,253660929598,,77250.0,464304.75
03/05/2023,03/05/2023,BIL/INFT/227097696779/DMART/PAYMENT,227097696779,310.0,,463994.75
05/05/2023,05/05/2023,NEFT DR-HDFC0060098-TARA GEORGE-240924601299-RENT,808932097803,18000.0,,445994.75
06/05/2023,06/05/2023,BY TRANSFER/IMPS/013405042123/PRAKASH RAO/CNRB,013405042123,,2500.0,448494.75
08/05/2023,08/05/2023,POS/8400/IRCTC/KORAMANGALA,092568553459,2380.0,,446114.75
08/05/2023,08/05/2023,BIL/INFT/526923724700/IRCTC/PAYMENT,526923724700,850.0,,445264.75
09/05/2023,09/05/2023,POS/3562/PVR CINEMAS/MARATHAHALLI,815650126551,449.0,,444815.75
10/05/2023,10/05/2023,ATM WDL/9934/MYSURU,061673336530,1680.0,,443135.75
11/05/2023,11/05/2023,ATM WDL/6180/MARATHAHALLI,561324854504,249.0,,442886.75
14/05/2023,14/05/2023,BY TRANSFER/IMPS/949261689320/SHAHID KHAN/CNRB,949261689320,,1200.0,444086.75
16/05/2023,16/05/2023,POS/2556/PVR CINEMAS/INDIRANAGAR,566313625634,249.0,,443837.75
18/05/2023,18/05/2023,POS/4767/RELIANCE FRESH/HYDERABAD,098432377457,249.0,,443588.75
18/05/2023,18/05/2023,UPI/138259771359/sunilshett239@okhdfcbank/CNRB,138259771359,120.0,,443468.75
18/05/2023,18/05/2023,POS/2410/FLIPKART/JAYANAGAR,116395487744,699.0,,442769.75
20/05/2023,20/05/2023,BY TRANSFER/IMPS/725547887097/SMITHA RAO/CNRB,725547887097,,7500.0,450269.75
20/05/2023,20/05/2023,POS/0716/AMAZON/PUNE,623498472583,5200.0,,445069.75
21/05/2023,21/05/2023,BIL/INFT/450370906193/ZOMATO/PAYMENT,450370906193,2380.0,,442689.75
22/05/2023,22/05/2023,POS/5752/FLIPKART/KORAMANGALA,642863652642,249.0,,442440.75
22/05/2023,22/05/2023,UPI/999899165923/kavyareddy50@ybl/CNRB,999899165923,2380.0,,440060.75
22/05/2023,22/05/2023,BIL/INFT/393670589635/DMART/PAYMENT,393670589635,5200.0,,434860.75
23/05/2023,23/05/2023,BIL/INFT/543551673016/IRCTC/PAYMENT,543551673016,449.0,,434411.75
24/05/2023,24/05/2023,BIL/INFT/302830914818/BOOKMYSHOW/PAYMENT,302830914818,999.0,,433412.75
25/05/2023,25/05/2023,BY TRANSFER/IMPS/152732616990/TARA SINGH/CNRB,152732616990,,2500.0,435912.75
25/05/2023,25/05/2023,UPI/456714196038/naveenkuma153@okhdfcbank/CNRB,456714196038,310.0,,435602.75
26/05/2023,26/05/2023,BIL/INFT/116114066790/BOOKMYSHOW/PAYMENT,116114066790,3499.0,,432103.75
28/05/2023,28/05/2023,BY TRANSFER/IMPS/306566006222/KAVITHA RAO/CNRB,306566006222,,1200.0,433303.75
30/05/2023,30/05/2023,BY TRANSFER/IMPS/880468149327/PADMA RAO/CNRB,880468149327,,7500.0,440803.75
01/06/2023,01/06/2023,NEFT CR-HDFC0232248-TECHNOVA SOLUTIONS-686751466748-SALARY SURESH NAIR,520154224952,,78500.0,519303.75
01/06/2023,01/06/2023,BIL/INFT/467912577526/SWIGGY/PAYMENT,467912577526,120.0,,519183.75
02/06/2023,02/06/2023,UPI/390203401097/meerapilla557@paytm/CNRB,390203401097,310.0,,518873.75
02/06/2023,02/06/2023,UPI/536291754200/divyamenon683@okhdfcbank/CNRB,536291754200,1250.0,,517623.75
02/06/2023,02/06/2023,ATM WDL/1890/BTM LAYOUT,100177511388,120.0,,517503.75
05/06/2023,05/06/2023,NEFT DR-HDFC0538901-ROHIT SHARMA-553913288121-RENT,323734698361,31000.0,,486503.75
05/06/2023,05/06/2023,ATM WDL/5731/MARATHAHALLI,616193343768,249.0,,486254.75
07/06/2023,07/06/2023,POS/3858/IRCTC/MARATHAHALLI,459972340887,999.0,,485255.75
10/06/2023,10/06/2023,UPI/771319321709/arjunmehta121@okaxis/CNRB,771319321709,1680.0,,483575.75
11/06/2023,11/06/2023,ATM WDL/4351/KORAMANGALA,059358340772,249.0,,483326.75
12/06/2023,12/06/2023,UPI/093221840971/gopalnaik325@okhdfcbank/CNRB,093221840971,5200.0,,478126.75
14/06/2023,14/06/2023,BY TRANSFER/IMPS/747421261269/KIRAN REDDY/CNRB,747421261269,,4800.0,482926.75
