Txn Date,Value Date,Description,Ref No./Cheque No.,Debit,Credit,Balance
1 Jan 2023,1 Jan 2023,BY TRANSFER-8506462847573 SALARY RAJENDRA PRA,143314290162,,78000.0,316096.0
2 Jan 2023,2 Jan 2023,POS/3257/ZOMATO/HYDERABAD,387499170241,699.0,,315397.0
2 Jan 2023,2 Jan 2023,POS/4346/OLA/KUKATPALLY,671330855885,5200.0,,310197.0
3 Jan 2023,3 Jan 2023,ATM WDL/2631/MARATHAHALLI,819061219728,1680.0,,308517.0
5 Jan 2023,5 Jan 2023,NEFT DR-HDFC0657440-RAHUL SINGH-245798441724-RENT,373720719592,31000.0,,277517.0
7 Jan 2023,7 Jan 2023,TO CLEARING-CIT JIO 485255,749793263294,5200.0,,272317.0
8 Jan 2023,8 Jan 2023,TO CLEARING-CIT JIO 795542,918292596699,120.0,,272197.0
10 Jan 2023,10 Jan 2023,POS/1391/IRCTC/BTM LAYOUT,611920367084,1680.0,,270517.0
12 Jan 2023,12 Jan 2023,TO TRANSFER-UPI/201355797659/santoshiye575@paytm,201355797659,49.0,,270468.0
12 Jan 2023,12 Jan 2023,ATM WDL/5011/MUMBAI,044359033955,699.0,,269769.0
13 Jan 2023,13 Jan 2023,TO TRANSFER-UPI/524473083326/santoshiye311@oksbi,524473083326,79.0,,269690.0
14 Jan 2023,14 Jan 2023,BY TRANSFER-INB IMPS519503016932/9954889444/XX5291/Remitly Tr-,MAC1905449220,,1200.0,270890.0
14 Jan 2023,14 Jan 2023,TO CLEARING-CIT ZOMATO 885546,261213174371,699.0,,270191.0
14 Jan 2023,14 Jan 2023,ATM WDL/5014/KORAMANGALA,958639386858,249.0,,269942.0
15 Jan 2023,15 Jan 2023,BY TRANSFER-INB IMPS072363190894/3354841734/XX6170/Remitly Tr-,MAC8849888356,,500.0,270442.0
15 Jan 2023,15 Jan 2023,TO CLEARING-CIT RELIANCE FRESH 727305,242019143465,1680.0,,268762.0
15 Jan 2023,15 Jan 2023,TO CLEARING-CIT SWIGGY 890106,679959846410,249.0,,268513.0
17 Jan 2023,17 Jan 2023,BY TRANSFER-INB IMPS562928780123/6995017995/XX0933/Remitly Tr-,MAC0446308923,,850.0,269363.0
18 Jan 2023,18 Jan 2023,TO CLEARING-CIT BOOKMYSHOW 987572,034534858231,249.0,,269114.0
19 Jan 2023,19 Jan 2023,TO CLEARING-CIT APOLLO PHARMACY 045231,080366209997,49.0,,269065.0
20 Jan 2023,20 Jan 2023,POS/9007/PVR CINEMAS/BTM LAYOUT,010539399718,1680.0,,267385.0
20 Jan 2023,20 Jan 2023,BY TRANSFER-INB IMPS886304399359/0182859766/XX2864/Remitly Tr-,MAC5304886931,,2500.0,269885.0
21 Jan 2023,21 Jan 2023,BY TRANSFER-INB IMPS887105703894/3116690364/XX2774/Remitly Tr-,MAC4088384825,,1200.0,271085.0
21 Jan 2023,21 Jan 2023,BY TRANSFER-INB IMPS113782618295/1132913157/XX0604/Remitly Tr-,MAC3669329890,,4800.0,275885.0
22 Jan 2023,22 Jan 2023,TO TRANSFER-UPI/177027569266/kavyareddy183@okhdfcbank,177027569266,249.0,,275636.0
24 Jan 2023,24 Jan 2023,TO TRANSFER-UPI/753450704390/rajeshverm577@paytm,753450704390,79.0,,275557.0
25 Jan 2023,25 Jan 2023,TO TRANSFER-UPI/361846766460/vikramnair162@paytm,361846766460,249.0,,275308.0
26 Jan 2023,26 Jan 2023,TO CLEARING-CIT AIRTEL 487409,015236490551,1680.0,,273628.0
27 Jan 2023,27 Jan 2023,TO CLEARING-CIT FLIPKART 018065,702785353464,310.0,,273318.0
28 Jan 2023,28 Jan 2023,POS/0664/IRCTC/MYSURU,403096625299,249.0,,273069.0
30 Jan 2023,30 Jan 2023,TO CLEARING-CIT AMAZON 439271,772225973819,999.0,,272070.0
31 Jan 2023,31 Jan 2023,POS/4049/MEDPLUS/HSR LAYOUT,466489068997,1250.0,,270820.0
