Tran Date,Value Date,Transaction Particulars,Chq No,Debit,Credit,Balance
03-01-2023,03-01-2023,BIL/INFT/259261711864/IOCL/PAYMENT,259261711864,449.0,,222578.0
06-01-2023,06-01-2023,POS/4155/APOLLO PHARMACY/MUMBAI,076762771435,5200.0,,217378.0
07-01-2023,07-01-2023,BIL/INFT/273938032262/FLIPKART/PAYMENT,273938032262,3499.0,,213879.0
07-01-2023,07-01-2023,POS/1881/BPCL/JAYANAGAR,146112824367,1680.0,,212199.0
09-01-2023,09-01-2023,POS/8573/BOOKMYSHOW/MYSURU,931667247575,449.0,,211750.0
09-01-2023,09-01-2023,POS/6245/IRCTC/INDIRANAGAR,602813514022,5200.0,,206550.0
09-01-2023,09-01-2023,POS/1461/JIO/HSR LAYOUT,146419645454,999.0,,205551.0
12-01-2023,12-01-2023,IMPS/P2A/350806046887/ARJUNMEHTA/AXIS,350806046887,,7500.0,213051.0
12-01-2023,12-01-2023,POS/7673/PVR CINEMAS/KUKATPALLY,001240597776,120.0,,212931.0
12-01-2023,12-01-2023,POS/8534/UBER/JAYANAGAR,046589496609,1250.0,,211681.0
13-01-2023,13-01-2023,ATM WDL/0402/MYSURU,928563405925,5200.0,,206481.0
14-01-2023,14-01-2023,UPI/P2A/324407708415/tarageorge793@okaxis/PAY,324407708415,1680.0,,204801.0
14-01-2023,14-01-2023,UPI/P2A/263345132655/santoshiye610@ybl/PAY,263345132655,1680.0,,203121.0
15-01-2023,15-01-2023,ATM WDL/7003/MARATHAHALLI,727732099711,5200.0,,197921.0
17-01-2023,17-01-2023,POS/2244/APOLLO PHARMACY/BANJARA HILLS,951550356724,1250.0,,196671.0
18-01-2023,18-01-2023,POS/3547/SWIGGY/JAYANAGAR,223714575696,310.0,,196361.0
19-01-2023,19-01-2023,ATM WDL/0084/BTM LAYOUT,300948835102,49.0,,196312.0
19-01-2023,19-01-2023,BIL/INFT/494781239554/MEDPLUS/PAYMENT,494781239554,850.0,,195462.0
20-01-2023,20-01-2023,ATM WDL/9776/BANJARA HILLS,700472179868,120.0,,195342.0
21-01-2023,21-01-2023,BIL/INFT/030899573607/MEDPLUS/PAYMENT,030899573607,249.0,,195093.0
23-01-2023,23-01-2023,POS/5993/APOLLO PHARMACY/MUMBAI,105256915340,5200.0,,189893.0
30-01-2023,30-01-2023,IMPS/P2A/426217339696/LAKSHMIVENKAT/AXIS,426217339696,,11200.0,201093.0
01-02-2023,01-02-2023,UPI/P2A/672962099432/harishmeno358@ybl/PAY,672962099432,999.0,,200094.0
03-02-2023,03-02-2023,BIL/INFT/285837377640/RELIANCE FRESH/PAYMENT,285837377640,79.0,,200015.0
03-02-2023,03-02-2023,UPI/P2A/537445510098/santoshiye835@oksbi/PAY,537445510098,2380.0,,197635.0
04-02-2023,04-02-2023,UPI/P2A/277289691455/kiranreddy576@paytm/PAY,277289691455,120.0,,197515.0
04-02-2023,04-02-2023,BIL/INFT/163568886370/OLA/PAYMENT,163568886370,249.0,,197266.0
05-02-2023,05-02-2023,ATM WDL/1489/MUMBAI,397670681444,699.0,,196567.0
05-02-2023,05-02-2023,BIL/INFT/728372855985/RELIANCE FRESH/PAYMENT,728372855985,249.0,,196318.0
06-02-2023,06-02-2023,BIL/INFT/478826076591/AMAZON/PAYMENT,478826076591,699.0,,195619.0
08-02-2023,08-02-2023,IMPS/P2A/513787748640/LALITHADEVI/AXIS,513787748640,,7500.0,203119.0
09-02-2023,09-02-2023,POS/9036/IRCTC/BANJARA HILLS,583661569901,999.0,,202120.0
09-02-2023,09-02-2023,IMPS/P2A/447332523294/RAJESHVERMA/AXIS,447332523294,,11200.0,213320.0
12-02-2023,12-02-2023,IMPS/P2A/411612613959/FARHANKHAN/AXIS,411612613959,,18500.0,231820.0
12-02-2023,12-02-2023,ATM WDL/3841/BTM LAYOUT,037136673296,1250.0,,230570.0
13-02-2023,13-02-2023,POS/6001/HPCL/BANJARA HILLS,342696056019,120.0,,230450.0
14-02-2023,14-02-2023,UPI/P2A/907995994276/priyanair645@paytm/PAY,907995994276,1250.0,,229200.0
14-02-2023,14-02-2023,ATM WDL/8430/KORAMANGALA,359058649079,1250.0,,227950.0
15-02-2023,15-02-2023,ATM WDL/9675/BANJARA HILLS,736899786226,999.0,,226951.0
15-02-2023,15-02-2023,POS/7346/SWIGGY/SECUNDERABAD,176016279865,850.0,,226101.0
16-02-2023,16-02-2023,UPI/P2A/364488997160/farhankhan50@okhdfcbank/PAY,364488997160,999.0,,225102.0
16-02-2023,16-02-2023,UPI/P2A/687619044104/divyamenon660@paytm/PAY,687619044104,1250.0,,223852.0
18-02-2023,18-02-2023,IMPS/P2A/302389611450/NIKHILGUPTA/AXIS,302389611450,,24000.0,247852.0
19-02-2023,19-02-2023,BIL/INFT/235747471606/OLA/PAYMENT,235747471606,2380.0,,245472.0
19-02-2023,19-02-2023,UPI/P2A/093673189936/anjalirao243@okaxis/PAY,093673189936,5200.0,,240272.0
19-02-2023,19-02-2023,ATM WDL/2985/HSR LAYOUT,206344865341,1680.0,,238592.0
20-02-2023,20-02-2023,ATM WDL/2068/MYSURU,607443838466,1250.0,,237342.0
20-02-2023,20-02-2023,ATM WDL/0760/MARATHAHALLI,180744895268,310.0,,237032.0
22-02-2023,22-02-2023,UPI/P2A/405179041817/smitharao192@okaxis/PAY,405179041817,7800.0,,229232.0
22-02-2023,22-02-2023,UPI/P2A/265089356640/smitharao100@okaxis/PAY,265089356640,699.0,,228533.0
23-02-2023,23-02-2023,UPI/P2A/220760220876/naveenkuma294@paytm/PAY,220760220876,699.0,,227834.0
24-02-2023,24-02-2023,POS/5176/MEDPLUS/KUKATPALLY,065218371263,79.0,,227755.0
25-02-2023,25-02-2023,UPI/P2A/751582194297/divyamenon732@paytm/PAY,751582194297,49.0,,227706.0
26-02-2023,26-02-2023,IMPS/P2A/209593747228/VINAYPATIL/AXIS,209593747228,,1200.0,228906.0
26-02-2023,26-02-2023,ATM WDL/8882/KUKATPALLY,721889973072,999.0,,227907.0
27-02-2023,27-02-2023,ATM WDL/1719/BTM LAYOUT,560986711432,850.0,,227057.0
27-02-2023,27-02-2023,ATM WDL/5207/HYDERABAD,599292152851,7800.0,,219257.0
28-02-2023,28-02-2023,ATM WDL/2921/MANGALURU,386406074147,120.0,,219137.0
01-03-2023,01-03-2023,UPI/P2A/394045221884/arjunmehta655@okaxis/PAY,394045221884,2380.0,,216757.0
01-03-2023,01-03-2023,POS/5973/HPCL/BTM LAYOUT,682936332783,3499.0,,213258.0
02-03-2023,02-03-2023,UPI/P2A/190235685524/meerapilla400@paytm/PAY,190235685524,999.0,,212259.0
02-03-2023,02-03-2023,ATM WDL/0212/BTM LAYOUT,106124395952,449.0,,211810.0
02-03-2023,02-03-2023,POS/0888/HPCL/BANJARA HILLS,034271873223,3499.0,,208311.0
03-03-2023,03-03-2023,ATM WDL/9426/MANGALURU,522463689470,449.0,,207862.0
05-03-2023,05-03-2023,IMPS/P2A/541576076202/LAKSHMIVENKAT/AXIS,541576076202,,500.0,208362.0
06-03-2023,06-03-2023,BIL/INFT/863593082391/BOOKMYSHOW/PAYMENT,863593082391,3499.0,,204863.0
07-03-2023,07-03-2023,IMPS/P2A/400097837586/SNEHAPATIL/AXIS,400097837586,,1200.0,206063.0
08-03-2023,08-03-2023,IMPS/P2A/801889246442/DEEPANAIR/AXIS,801889246442,,18500.0,224563.0
09-03-2023,09-03-2023,ATM WDL/0288/HSR LAYOUT,976721383505,699.0,,223864.0
11-03-2023,11-03-2023,UPI/P2A/512015570293/meerapilla796@oksbi/PAY,512015570293,3499.0,,220365.0
12-03-2023,12-03-2023,BIL/INFT/177025156487/IOCL/PAYMENT,177025156487,249.0,,220116.0
13-03-2023,13-03-2023,IMPS/P2A/176240488887/VENKATRAO/AXIS,176240488887,,11200.0,231316.0
14-03-2023,14-03-2023,POS/6936/IOCL/KUKATPALLY,785231339902,449.0,,230867.0
15-03-2023,15-03-2023,IMPS/P2A/003777741794/FARHANKHAN/AXIS,003777741794,,850.0,231717.0
15-03-2023,15-03-2023,IMPS/P2A/742011186915/SUNITADEVI/AXIS,742011186915,,2500.0,234217.0
15-03-2023,15-03-2023,ATM WDL/5932/KUKATPALLY,027039819438,850.0,,233367.0
16-03-2023,16-03-2023,ATM WDL/5147/MANGALURU,807013631737,3499.0,,229868.0
17-03-2023,17-03-2023,UPI/P2A/177955167628/vinaypatil363@ybl/PAY,177955167628,7800.0,,222068.0
17-03-2023,17-03-2023,ATM WDL/0777/WHITEFIELD,278149946333,5200.0,,216868.0
17-03-2023,17-03-2023,BIL/INFT/850570167023/IOCL/PAYMENT,850570167023,1250.0,,215618.0
19-03-2023,19-03-2023,UPI/P2A/766006313063/anjalirao137@oksbi/PAY,766006313063,79.0,,215539.0
19-03-2023,19-03-2023,IMPS/P2A/882475789554/RESHMAKHAN/AXIS,882475789554,,4800.0,220339.0
20-03-2023,20-03-2023,BIL/INFT/075603841540/IOCL/PAYMENT,075603841540,699.0,,219640.0
21-03-2023,21-03-2023,POS/9581/BPCL/BANJARA HILLS,869328245701,1250.0,,218390.0
22-03-2023,22-03-2023,ATM WDL/1461/HYDERABAD,566841186527,120.0,,218270.0
22-03-2023,22-03-2023,POS/2887/IRCTC/SECUNDERABAD,958445021967,999.0,,217271.0
23-03-2023,23-03-2023,POS/6039/DMART/MUMBAI,833437745296,1680.0,,215591.0
23-03-2023,23-03-2023,BIL/INFT/514231551794/DMART/PAYMENT,514231551794,49.0,,215542.0
24-03-2023,24-03-2023,IMPS/P2A/130290485314/PRIYANAIR/AXIS,130290485314,,1200.0,216742.0
24-03-2023,24-03-2023,IMPS/P2A/251867773046/RAMESHGOWDA/AXIS,251867773046,,2500.0,219242.0
24-03-2023,24-03-2023,IMPS/P2A/074234759710/MOHAMMEDIRFAN/AXIS,074234759710,,18500.0,237742.0
24-03-2023,24-03-2023,IMPS/P2A/768444397217/FATIMASHEIKH/AXIS,768444397217,,18500.0,256242.0
25-03-2023,25-03-2023,CREDIT INTEREST CAPITALISED,014060903712,,144.39,256386.39
25-03-2023,25-03-2023,GST ON BANK CHARGES,715867758755,17.7,,256368.69
26-03-2023,26-03-2023,IMPS/P2A/302091402493/DEEPANAIR/AXIS,302091402493,,24000.0,280368.69
27-03-2023,27-03-2023,POS/4551/RELIANCE FRESH/HSR LAYOUT,473460594367,1250.0,,279118.69
28-03-2023,28-03-2023,ATM WDL/4997/BTM LAYOUT,707739950938,120.0,,278998.69
28-03-2023,28-03-2023,POS/9180/BESCOM/KUKATPALLY,505552747751,310.0,,278688.69
29-03-2023,29-03-2023,POS/3493/UBER/INDIRANAGAR,614475161294,1680.0,,277008.69
02-04-2023,02-04-2023,POS/7372/DMART/PUNE,419145682106,310.0,,276698.69
03-04-2023,03-04-2023,BIL/INFT/291294957040/IOCL/PAYMENT,291294957040,5200.0,,271498.69
08-04-2023,08-04-2023,BIL/INFT/080893649844/BESCOM/PAYMENT,080893649844,699.0,,270799.69
09-04-2023,09-04-2023,UPI/P2A/151893078309/kavyareddy792@ybl/PAY,151893078309,120.0,,270679.69
10-04-2023,10-04-2023,POS/4440/BOOKMYSHOW/HSR LAYOUT,574613821401,49.0,,270630.69
10-04-2023,10-04-2023,ATM WDL/3488/PUNE,131846200598,120.0,,270510.69
10-04-2023,10-04-2023,POS/8422/BESCOM/BANJARA HILLS,470740527321,449.0,,270061.69
