Txn Date,Value Date,Particulars,Instrument ID,Debit,Credit,Balance
01/01/2023,01/01/2023,NEFT CR-HDFC0761415-TECHNOVA SOLUTIONS-063780515480-SALARY GANESH KUMAR,942413734011,,44250.0,190605.0
01/01/2023,01/01/2023,POS/9193/HPCL/KUKATPALLY,953753116892,850.0,,189755.0
02/01/2023,02/01/2023,ATM WDL/5411/MARATHAHALLI,719419210690,2380.0,,187375.0
02/01/2023,02/01/2023,UPI/213436535111/kavyareddy607@oksbi/CNRB,213436535111,1250.0,,186125.0
02/01/2023,02/01/2023,POS/6929/IRCTC/MUMBAI,852475423381,2380.0,,183745.0
03/01/2023,03/01/2023,POS/5931/BPCL/PUNE,244983401807,699.0,,183046.0
04/01/2023,04/01/2023,BIL/INFT/503715926992/OLA/PAYMENT,503715926992,850.0,,182196.0
05/01/2023,05/01/2023,NEFT DR-HDFC0978616-LATHA DEVI-016881184793-RENT,149737784592,18000.0,,164196.0
06/01/2023,06/01/2023,POS/4103/AMAZON/PUNE,231607884487,449.0,,163747.0
06/01/2023,06/01/2023,BIL/INFT/943251185607/JIO/PAYMENT,943251185607,2380.0,,161367.0
07/01/2023,07/01/2023,BY TRANSFER/IMPS/814482810870/MEERA PILLAI/CNRB,814482810870,,7500.0,168867.0
08/01/2023,08/01/2023,BIL/INFT/676027721888/AIRTEL/PAYMENT,676027721888,310.0,,168557.0
08/01/2023,08/01/2023,BIL/INFT/221891111855/BPCL/PAYMENT,221891111855,449.0,,168108.0
09/01/2023,09/01/2023,BIL/INFT/681353975157/BESCOM/PAYMENT,681353975157,999.0,,167109.0
10/01/2023,10/01/2023,BIL/INFT/118295730646/ZOMATO/PAYMENT,118295730646,310.0,,166799.0
11/01/2023,11/01/2023,BY TRANSFER/IMPS/068330254979/ARJUN MEHTA/CNRB,068330254979,,1200.0,167999.0
11/01/2023,11/01/2023,UPI/809032275933/kavyareddy895@oksbi/CNRB,809032275933,850.0,,167149.0
11/01/2023,11/01/2023,BIL/INFT/813632912311/DMART/PAYMENT,813632912311,449.0,,166700.0
12/01/2023,12/01/2023,UPI/974046701687/santoshiye967@paytm/CNRB,974046701687,699.0,,166001.0
13/01/2023,13/01/2023,UPI/836823815558/farhankhan932@paytm/CNRB,836823815558,449.0,,165552.0
14/01/2023,14/01/2023,POS/8132/HPCL/HSR LAYOUT,251945161996,699.0,,164853.0
16/01/2023,16/01/2023,ATM WDL/1490/MYSURU,627490446710,2380.0,,162473.0
17/01/2023,17/01/2023,POS/4269/BESCOM/SECUNDERABAD,025998115872,120.0,,162353.0
17/01/2023,17/01/2023,BIL/INFT/706700216954/IRCTC/PAYMENT,706700216954,120.0,,162233.0
17/01/2023,17/01/2023,ATM WDL/6621/MYSURU,960384348491,7800.0,,154433.0
17/01/2023,17/01/2023,BIL/INFT/681147392550/SWIGGY/PAYMENT,681147392550,449.0,,153984.0
18/01/2023,18/01/2023,ATM WDL/5032/MUMBAI,967299585667,79.0,,153905.0
19/01/2023,19/01/2023,UPI/833769317627/priyanair715@ybl/CNRB,833769317627,249.0,,153656.0
21/01/2023,21/01/2023,ATM WDL/3786/WHITEFIELD,094719438681,999.0,,152657.0
23/01/2023,23/01/2023,POS/2205/AIRTEL/MUMBAI,273147940607,999.0,,151658.0
24/01/2023,24/01/2023,BY TRANSFER/IMPS/641183080737/ARUN SHARMA/CNRB,641183080737,,1200.0,152858.0
24/01/2023,24/01/2023,BY TRANSFER/IMPS/306243820540/DEEPA NAIR/CNRB,306243820540,,11200.0,164058.0
25/01/2023,25/01/2023,BY TRANSFER/IMPS/997627299881/RAJENDRA PRASAD/CNRB,997627299881,,1200.0,165258.0
25/01/2023,25/01/2023,POS/0955/BPCL/BTM LAYOUT,190767637238,1680.0,,163578.0
26/01/2023,26/01/2023,ATM WDL/7632/JAYANAGAR,786034789281,120.0,,163458.0
27/01/2023,27/01/2023,POS/8784/AIRTEL/BANJARA HILLS,956237015723,79.0,,163379.0
28/01/2023,28/01/2023,ATM WDL/1251/MUMBAI,582519536126,79.0,,163300.0
30/01/2023,30/01/2023,POS/2068/IOCL/BANJARA HILLS,394162568240,310.0,,162990.0
01/02/2023,01/02/2023,NEFT CR-HDFC0521310-TECHNOVA SOLUTIONS-931158618329-SALARY GANESH KUMAR,533512947973,,45500.0,208490.0
01/02/2023,01/02/2023,BIL/INFT/067833330625/OLA/PAYMENT,067833330625,3499.0,,204991.0
02/02/2023,02/02/2023,ATM WDL/8984/MANGALURU,208247206184,79.0,,204912.0
