Txn Date,Value Date,Description,Ref No./Cheque No.,Debit,Credit,Balance
3 Jan 2023,3 Jan 2023,BY TRANSFER-1837842369319 SALARY VINAY PATIL,383666930187,,32500.0,132244.0
4 Jan 2023,4 Jan 2023,TO TRANSFER-UPI/801089534663/vinaypatil254@okhdfcbank,801089534663,699.0,,131545.0
4 Jan 2023,4 Jan 2023,BY TRANSFER-INB IMPS504768317636/6519883696/XX2579/Remitly Tr-,MAC9815002430,,24000.0,155545.0
5 Jan 2023,5 Jan 2023,ATM WDL/5872/MANGALURU,629543675369,850.0,,154695.0
7 Jan 2023,7 Jan 2023,TO TRANSFER-UPI/394043739503/santoshiye642@oksbi,394043739503,249.0,,154446.0
7 Jan 2023,7 Jan 2023,NEFT DR-HDFC0748036-ROHIT SHARMA-573584542214-RENT,755333070387,31000.0,,123446.0
9 Jan 2023,9 Jan 2023,ATM WDL/0715/BTM LAYOUT,460931593861,1250.0,,122196.0
10 Jan 2023,10 Jan 2023,TO TRANSFER-UPI/119150380327/kiranreddy87@paytm,119150380327,999.0,,121197.0
11 Jan 2023,11 Jan 2023,TO CLEARING-CIT FLIPKART 294244,064965922453,850.0,,120347.0
15 Jan 2023,15 Jan 2023,TO CLEARING-CIT AMAZON 698050,730080822036,449.0,,119898.0
18 Jan 2023,18 Jan 2023,BY TRANSFER-INB IMPS774403882070/1566375133/XX0414/Remitly Tr-,MAC0454488019,,500.0,120398.0
18 Jan 2023,18 Jan 2023,BY TRANSFER-INB IMPS888780231530/1427005165/XX8997/Remitly Tr-,MAC0755090102,,24000.0,144398.0
19 Jan 2023,19 Jan 2023,TO CLEARING-CIT RELIANCE FRESH 400863,594100126881,120.0,,144278.0
20 Jan 2023,20 Jan 2023,TO CLEARING-CIT FLIPKART 598955,049463874226,1680.0,,142598.0
21 Jan 2023,21 Jan 2023,TO TRANSFER-UPI/202068877978/rohitsharm408@paytm,202068877978,999.0,,141599.0
21 Jan 2023,21 Jan 2023,TO TRANSFER-UPI/689817374846/anjalirao721@ybl,689817374846,1250.0,,140349.0
22 Jan 2023,22 Jan 2023,TO CLEARING-CIT DMART 996806,743902531789,3499.0,,136850.0
22 Jan 2023,22 Jan 2023,POS/4463/SWIGGY/MYSURU,356054205011,1680.0,,135170.0
23 Jan 2023,23 Jan 2023,ATM WDL/5631/INDIRANAGAR,465645743406,1250.0,,133920.0
25 Jan 2023,25 Jan 2023,ATM WDL/4645/HYDERABAD,232723300771,3499.0,,130421.0
30 Jan 2023,30 Jan 2023,POS/7380/IRCTC/MYSURU,322794233911,49.0,,130372.0
2 Feb 2023,2 Feb 2023,BY TRANSFER-6636287165694 SALARY VINAY PATIL,984273435254,,32000.0,162372.0
3 Feb 2023,3 Feb 2023,NEFT DR-HDFC0191513-FARHAN KHAN-004228998895-RENT,071107117090,22000.0,,140372.0
