Date,Narration,Ref,Withdrawal,Deposit,Balance
01/08/2022,IMPS/P2P/8666959686/VINAY PATIL/9633662527,TXN0254512,,24000.00,155379.51
01/08/2022,UPI/CR/68219408/SURESH NAIR/KKBK0045457/suresh576@paytm,TXN0254513,,18500.00,173879.51
02/08/2022,UPI/DR/59511114/DEEPAK JOSHI/KKBK0045457/deepak991@oksbi,TXN0254514,7800.00,,166079.51
02/08/2022,NEFT/43996933/IMRAN KHAN/KKBK0045457/82736596420478,TXN0254515,,4800.00,170879.51
02/08/2022,NEFT/6444697102/ARUN SHARMA/KKBK0045457/31840666654845,TXN0254516,120.00,,170759.51
02/08/2022,ATM/WDL/42963468/SBI ATM JAYANAGAR BLR,TXN0254517,79.00,,170680.51
02/08/2022,UPI/DR/79255796/SHAHID KHAN/KKBK0045457/shahid543@okhdfc,TXN0254518,449.00,,170231.51
02/08/2022,UPI/DR/633562049445/PRAKASH RAO/KKBK0045457/prakash24@ybl,TXN0254519,249.00,,169982.51
02/08/2022,UPI/DR/11811773/POOJA SHARMA/KKBK0045457/pooja105@okaxis,TXN0254520,1250.00,,168732.51
02/08/2022,UPI/DR/72259755/DEEPA NAIR/KKBK0045457/deepa817@okaxis,TXN0254521,1250.00,,167482.51
03/08/2022,UPI/DR/0330045284/PADMA RAO/KKBK0045457/padma633@okaxis,TXN0254522,699.00,,166783.51
03/08/2022,IMPS/P2P/770624403232/GEETA DEVI/8018108939,TXN0254523,,11200.00,177983.51
03/08/2022,UPI/CR/379611749325/HARISH MENON/KKBK0045457/harish766@okaxis,TXN0254524,,1200.00,179183.51
03/08/2022,IMPS/P2P/9468326891/ROHIT SHARMA/9640369211,TXN0254525,,1200.00,180383.51
03/08/2022,NEFT/487953873288/PADMA RAO/KKBK0045457/46219362278045,TXN0254526,,18500.00,198883.51
03/08/2022,UPI/DR/629891218669/AYESHA KHAN/KKBK0045457/ayesha279@okaxis,TXN0254527,310.00,,198573.51
03/08/2022,UPI/DR/046168202147/DEEPA NAIR/KKBK0045457/deepa271@paytm,TXN0254528,449.00,,198124.51
04/08/2022,UPI/DR/24756424/PRIYA NAIR/KKBK0045457/priya804@paytm,TXN0254529,49.00,,198075.51
04/08/2022,UPI/DR/00264018/GEETA DEVI/KKBK0045457/geeta124@okhdfc,TXN0254530,699.00,,197376.51
04/08/2022,UPI/CR/9607153238/RAVI KUMAR SHARMA/KKBK0045457/ravi457@okaxis,TXN0254531,,850.00,198226.51
05/08/2022,UPI/DR/8384154752/SUNIL YADAV/KKBK0045457/sunil126@okaxis,TXN0254532,850.00,,197376.51
05/08/2022,UPI/DR/3680457732/SNEHA PATIL/KKBK0045457/sneha792@paytm,TXN0254533,310.00,,197066.51
06/08/2022,UPI/CR/36615872/DEEPAK JOSHI/KKBK0045457/deepak171@ybl,TXN0254534,,11200.00,208266.51
06/08/2022,IMPS/P2P/5418931682/MEENA IYER/7627195652,TXN0254535,,850.00,209116.51
06/08/2022,NEFT/94834991/GEETA DEVI/KKBK0045457/13430479138614,TXN0254536,,4800.00,213916.51
06/08/2022,UPI/DR/026024189388/SNEHA PATIL/KKBK0045457/sneha822@paytm,TXN0254537,49.00,,213867.51
06/08/2022,CHQ NO 052916 CLEARING,TXN0254538,999.00,,212868.51
06/08/2022,UPI/DR/6273802991/DEEPAK JOSHI/KKBK0045457/deepak945@okaxis,TXN0254539,999.00,,211869.51
06/08/2022,UPI/DR/0476831871/BABU LAL/KKBK0045457/babu983@oksbi,TXN0254540,120.00,,211749.51
06/08/2022,UPI/CR/23376210/PRIYA NAIR/KKBK0045457/priya403@paytm,TXN0254541,,7600.00,219349.51
06/08/2022,CHQ NO 159416 CLEARING,TXN0254542,49.00,,219300.51
06/08/2022,UPI/CR/39125329/SAVITHA DEVI/KKBK0045457/savitha557@okaxis,TXN0254543,,7600.00,226900.51
07/08/2022,NEFT/56819084/SUNITA DEVI/KKBK0045457/56759895078718,TXN0254544,79.00,,226821.51
07/08/2022,UPI/DR/12116291/ADITYA KUMAR/KKBK0045457/aditya186@paytm,TXN0254545,449.00,,226372.51
07/08/2022,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,TXN0254546,,850.00,227222.51
