Txn Date,Value Date,Description,Ref No./Cheque No.,Debit,Credit,Balance
01/08/2022,02/08/2022,NEFT/09561577/SANJANA HEGDE/SBIN0684317/36369171961152,TXN0258128,,24000.00,112328.00
01/08/2022,02/08/2022,ATM/WDL/278502803673/CANARA ATM MYSURU,TXN0258129,49.00,,112279.00
01/08/2022,02/08/2022,IMPS/P2P/5344333411/SUNIL YADAV/8803990871,TXN0258130,,32000.00,144279.00
02/08/2022,02/08/2022,ATM/WDL/38607953/HDFC ATM KORAMANGALA,TXN0258131,120.00,,144159.00
02/08/2022,02/08/2022,UPI/DR/222715604168/SANJANA HEGDE/SBIN0684317/sanjana58@okhdfc,TXN0258132,1680.00,,142479.00
02/08/2022,03/08/2022,UPI/CR/5988325074/GANESH KUMAR/SBIN0684317/ganesh918@okhdfc,TXN0258133,,500.00,142979.00
03/08/2022,03/08/2022,CHQ NO 917119 CLEARING,TXN0258134,999.00,,141980.00
03/08/2022,04/08/2022,NEFT/838446341963/SHEELA DEVI/SBIN0684317/06693542292616,TXN0258135,249.00,,141731.00
04/08/2022,04/08/2022,UPI/DR/2912009212/GEETA DEVI/SBIN0684317/geeta500@okhdfc,TXN0258136,2380.00,,139351.00
04/08/2022,04/08/2022,UPI/CR/7337991233/SURESH BABU/SBIN0684317/suresh153@paytm,TXN0258137,,1200.00,140551.00
04/08/2022,04/08/2022,IMPS/P2P/40197868/ARJUN MEHTA/9328787925,TXN0258138,,1200.00,141751.00
04/08/2022,04/08/2022,UPI/DR/188682505102/RANJIT SINGH/SBIN0684317/ranjit452@okhdfc,TXN0258139,120.00,,141631.00
04/08/2022,04/08/2022,NEFT/590897442332/SHEELA DEVI/SBIN0684317/00014818180561,TXN0258140,,850.00,142481.00
05/08/2022,05/08/2022,UPI/DR/888866804621/REKHA PILLAI/SBIN0684317/rekha277@ybl,TXN0258141,49.00,,142432.00
05/08/2022,05/08/2022,ATM/WDL/74366691/HDFC ATM KORAMANGALA,TXN0258142,5200.00,,137232.00
05/08/2022,06/08/2022,IMPS/P2P/2847653766/RAMESH PILLAI/8028943068,TXN0258143,,4800.00,142032.00
05/08/2022,05/08/2022,IMPS/P2P/42640161/RAJESH VERMA/8421036773,TXN0258144,,500.00,142532.00
05/08/2022,06/08/2022,UPI/CR/488177368491/RANJIT SINGH/SBIN0684317/ranjit695@ybl,TXN0258145,,850.00,143382.00
06/08/2022,06/08/2022,UPI/DR/7685335893/SUSHMA RAO/SBIN0684317/sushma90@ybl,TXN0258146,310.00,,143072.00
06/08/2022,07/08/2022,CHQ NO 612764 CLEARING,TXN0258147,2380.00,,140692.00
06/08/2022,06/08/2022,CHQ NO 147450 CLEARING,TXN0258148,699.00,,139993.00
06/08/2022,06/08/2022,IMPS/P2P/5888752227/MOHAN DAS/8525080832,TXN0258149,,4800.00,144793.00
06/08/2022,06/08/2022,CASH DEPOSIT/BRANCH COUNTER/HITEC CITY HYDERABAD,TXN0258150,,500.00,145293.00
06/08/2022,06/08/2022,CHQ NO 222797 CLEARING,TXN0258151,699.00,,144594.00
07/08/2022,07/08/2022,NEFT/56392328/LATHA MURTHY/SBIN0684317/10476180550335,TXN0258152,,18500.00,163094.00
07/08/2022,07/08/2022,UPI/DR/927853771618/ARUN SHARMA/SBIN0684317/arun163@okhdfc,TXN0258153,3499.00,,159595.00
07/08/2022,07/08/2022,NEFT/822574264980/VIKRAM NAIR/SBIN0684317/05895504301038,TXN0258154,249.00,,159346.00
08/08/2022,08/08/2022,NEFT/273737104182/GOPAL VERMA/SBIN0684317/04158314640494,TXN0258155,49.00,,159297.00
08/08/2022,08/08/2022,UPI/CR/419415794790/RAMESH GOWDA/SBIN0684317/ramesh158@okhdfc,TXN0258156,,2500.00,161797.00
08/08/2022,08/08/2022,CHQ NO 682395 CLEARING,TXN0258157,850.00,,160947.00
08/08/2022,08/08/2022,UPI/CR/1627633883/FATIMA SHEIKH/SBIN0684317/fatima866@paytm,TXN0258158,,500.00,161447.00
08/08/2022,09/08/2022,CASH DEPOSIT/BRANCH COUNTER/HITEC CITY HYDERABAD,TXN0258159,,4800.00,166247.00
08/08/2022,09/08/2022,IMPS/P2P/8451350077/LAKSHMI VENKAT/9371572959,TXN0258160,,24000.00,190247.00
08/08/2022,09/08/2022,UPI/DR/63897572/ANITHA KRISHNAN/SBIN0684317/anitha298@oksbi,TXN0258161,49.00,,190198.00
08/08/2022,09/08/2022,NEFT/6946009818/RAVI KUMAR SHARMA/SBIN0684317/57023070786595,TXN0258162,7800.00,,182398.00
08/08/2022,08/08/2022,NEFT/582396600709/NADIA HUSSAIN/SBIN0684317/59338864889329,TXN0258163,49.00,,182349.00
08/08/2022,08/08/2022,UPI/DR/3035802010/ANITHA KRISHNAN/SBIN0684317/anitha867@ybl,TXN0258164,1680.00,,180669.00
09/08/2022,10/08/2022,CASH DEPOSIT/BRANCH COUNTER/HITEC CITY HYDERABAD,TXN0258165,,24000.00,204669.00
09/08/2022,10/08/2022,NEFT/25207056/VENKAT RAO/SBIN0684317/76493551088458,TXN0258166,,1200.00,205869.00
09/08/2022,09/08/2022,UPI/DR/735093596909/DIVYA MENON/SBIN0684317/divya595@okhdfc,TXN0258167,850.00,,205019.00
09/08/2022,10/08/2022,UPI/DR/713944735563/TARA SINGH/SBIN0684317/tara694@okhdfc,TXN0258168,699.00,,204320.00
09/08/2022,10/08/2022,NEFT/186613217275/MOHAN DAS/SBIN0684317/00450623196776,TXN0258169,,18500.00,222820.00
09/08/2022,10/08/2022,ATM/WDL/85134291/CANARA ATM MYSURU,TXN0258170,2380.00,,220440.00
09/08/2022,10/08/2022,CHQ NO 917777 CLEARING,TXN0258171,120.00,,220320.00
09/08/2022,09/08/2022,CHQ NO 808527 CLEARING,TXN0258172,7800.00,,212520.00
09/08/2022,09/08/2022,IMPS/P2P/734437397276/SANTOSH KUMAR/7692911547,TXN0258173,,2500.00,215020.00
10/08/2022,10/08/2022,UPI/DR/802376256955/LAKSHMI VENKAT/SBIN0684317/lakshmi443@oksbi,TXN0258174,310.00,,214710.00
10/08/2022,10/08/2022,UPI/DR/4063240164/RESHMA KHAN/SBIN0684317/reshma308@okhdfc,TXN0258175,120.00,,214590.00
10/08/2022,10/08/2022,CHQ NO 140426 CLEARING,TXN0258176,449.00,,214141.00
10/08/2022,10/08/2022,UPI/DR/7657001805/ADITYA KUMAR/SBIN0684317/aditya628@okaxis,TXN0258177,699.00,,213442.00
10/08/2022,11/08/2022,CHQ NO 012479 CLEARING,TXN0258178,850.00,,212592.00
11/08/2022,11/08/2022,NEFT/0324238914/VIKRAM NAIR/SBIN0684317/72130747271130,TXN0258179,,1200.00,213792.00
11/08/2022,11/08/2022,UPI/CR/55454042/KARTHIK MENON/SBIN0684317/karthik695@oksbi,TXN0258180,,1200.00,214992.00
11/08/2022,11/08/2022,CASH DEPOSIT/BRANCH COUNTER/HITEC CITY HYDERABAD,TXN0258181,,500.00,215492.00
11/08/2022,11/08/2022,NEFT/83813380/AYESHA KHAN/SBIN0684317/10400406695801,TXN0258182,,11200.00,226692.00
12/08/2022,13/08/2022,UPI/DR/9102780053/ADITYA KUMAR/SBIN0684317/aditya77@ybl,TXN0258183,1680.00,,225012.00
12/08/2022,13/08/2022,IMPS/P2P/31031935/SURESH BABU/8547144336,TXN0258184,,7600.00,232612.00
12/08/2022,12/08/2022,NEFT/0653268619/GANESH KUMAR/SBIN0684317/10510884082716,TXN0258185,850.00,,231762.00
12/08/2022,13/08/2022,CASH DEPOSIT/BRANCH COUNTER/HITEC CITY HYDERABAD,TXN0258186,,850.00,232612.00
13/08/2022,13/08/2022,UPI/CR/15998892/DEEPA NAIR/SBIN0684317/deepa289@okaxis,TXN0258187,,500.00,233112.00
13/08/2022,13/08/2022,UPI/DR/247031655950/GANESH KUMAR/SBIN0684317/ganesh881@ybl,TXN0258188,49.00,,233063.00
13/08/2022,13/08/2022,UPI/DR/9243290688/POOJA SHARMA/SBIN0684317/pooja234@paytm,TXN0258189,999.00,,232064.00
13/08/2022,13/08/2022,UPI/DR/32798347/SNEHA PATIL/SBIN0684317/sneha701@ybl,TXN0258190,850.00,,231214.00
13/08/2022,13/08/2022,UPI/DR/270168121679/PRAKASH RAO/SBIN0684317/prakash26@ybl,TXN0258191,7800.00,,223414.00
