Value Date,Transaction Date,Description,Withdrawal Amt (INR Dr),Deposit Amt (INR Cr),Closing Balance
01/08/2022,01/08/2022,UPI/DR/7741764964/TARA SINGH/HDFC0722665/tara64@okhdfc,120.00,,195727.21
02/08/2022,02/08/2022,NEFT/2908536634/SANJANA HEGDE/HDFC0722665/73449789455435,49.00,,195678.21
02/08/2022,02/08/2022,UPI/DR/96447465/MALLIKA DAS/HDFC0722665/mallika540@paytm,120.00,,195558.21
02/08/2022,02/08/2022,IMPS/P2P/113407369548/HARISH MENON/8591819575,,4800.00,200358.21
02/08/2022,02/08/2022,UPI/DR/0375512904/RAJENDRA PRASAD/HDFC0722665/rajendra153@ybl,5200.00,,195158.21
02/08/2022,02/08/2022,CHQ NO 653351 CLEARING,5200.00,,189958.21
02/08/2022,02/08/2022,UPI/CR/342893511918/SURESH NAIR/HDFC0722665/suresh299@okaxis,,2500.00,192458.21
02/08/2022,02/08/2022,ATM/WDL/09228905/HDFC ATM KORAMANGALA,249.00,,192209.21
02/08/2022,02/08/2022,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,32000.00,224209.21
02/08/2022,02/08/2022,ATM/WDL/187183533601/SBI ATM JAYANAGAR BLR,7800.00,,216409.21
03/08/2022,03/08/2022,UPI/DR/395432778864/NIKHIL GUPTA/HDFC0722665/nikhil430@okhdfc,999.00,,215410.21
04/08/2022,03/08/2022,CHQ NO 643817 CLEARING,699.00,,214711.21
03/08/2022,03/08/2022,CHQ NO 851902 CLEARING,310.00,,214401.21
04/08/2022,04/08/2022,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,32000.00,246401.21
04/08/2022,04/08/2022,UPI/DR/2608459944/MOHAMMED IRFAN/HDFC0722665/mohammed697@okhdfc,249.00,,246152.21
04/08/2022,04/08/2022,ATM/WDL/26308506/SBI ATM JAYANAGAR BLR,1250.00,,244902.21
04/08/2022,04/08/2022,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,11200.00,256102.21
04/08/2022,04/08/2022,NEFT/4592450983/RAHUL SINGH/HDFC0722665/93622899892032,449.00,,255653.21
05/08/2022,04/08/2022,NEFT/668450326709/RAHUL SINGH/HDFC0722665/80910166490079,2380.00,,253273.21
05/08/2022,05/08/2022,NEFT/99119207/HARISH MENON/HDFC0722665/31408039438582,699.00,,252574.21
05/08/2022,05/08/2022,ATM/WDL/5524949374/HDFC ATM KORAMANGALA,249.00,,252325.21
05/08/2022,05/08/2022,NEFT/5642565456/FATIMA SHEIKH/HDFC0722665/22884642680395,,32000.00,284325.21
05/08/2022,05/08/2022,ATM/WDL/75470949/CANARA ATM MYSURU,249.00,,284076.21
05/08/2022,05/08/2022,UPI/CR/291859463675/NILESH KULKARNI/HDFC0722665/nilesh24@paytm,,500.00,284576.21
05/08/2022,05/08/2022,NEFT/578026221875/TARA SINGH/HDFC0722665/76502115034232,5200.00,,279376.21
07/08/2022,06/08/2022,UPI/CR/863432967835/SURESH BABU/HDFC0722665/suresh666@okaxis,,24000.00,303376.21
07/08/2022,06/08/2022,CHQ NO 654903 CLEARING,999.00,,302377.21
06/08/2022,06/08/2022,UPI/DR/04076240/BABU LAL/HDFC0722665/babu712@oksbi,850.00,,301527.21
