Txn Date,Value Date,Description,Debit Amount,Credit Amount,Balance
02/08/2022,03/08/2022,IMPS/P2P/43730717/MEERA PILLAI/9512325983,,2500.00,54269.89
02/08/2022,02/08/2022,UPI/CR/783593203347/HARISH MENON/ICIC0272108/harish701@okhdfc,,500.00,54769.89
02/08/2022,02/08/2022,IMPS/P2P/08520093/ROHIT SHARMA/8304718500,,500.00,55269.89
02/08/2022,02/08/2022,ATM/WDL/8472362187/CANARA ATM MYSURU,449.00,,54820.89
02/08/2022,02/08/2022,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,32000.00,86820.89
03/08/2022,03/08/2022,UPI/DR/85941069/MEERA PILLAI/ICIC0272108/meera98@oksbi,2380.00,,84440.89
03/08/2022,04/08/2022,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,18500.00,102940.89
04/08/2022,05/08/2022,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,1200.00,104140.89
05/08/2022,06/08/2022,NEFT/92334491/VIKRAM NAIR/ICIC0272108/28512446316066,,500.00,104640.89
05/08/2022,05/08/2022,UPI/CR/59476503/SANTOSH KUMAR/ICIC0272108/santosh179@okhdfc,,500.00,105140.89
06/08/2022,06/08/2022,NEFT/3797361830/RANJIT SINGH/ICIC0272108/15779439416258,49.00,,105091.89
06/08/2022,06/08/2022,UPI/DR/22135774/KAVITHA RAO/ICIC0272108/kavitha221@oksbi,1250.00,,103841.89
06/08/2022,06/08/2022,UPI/CR/32807933/PADMA RAO/ICIC0272108/padma12@paytm,,18500.00,122341.89
06/08/2022,06/08/2022,NEFT/6619718098/SANJANA HEGDE/ICIC0272108/33065698356728,449.00,,121892.89
06/08/2022,06/08/2022,ATM/WDL/82135994/CANARA ATM MYSURU,310.00,,121582.89
07/08/2022,07/08/2022,NEFT/8178996531/ARCHANA PILLAI/ICIC0272108/23450009092721,,500.00,122082.89
07/08/2022,08/08/2022,ATM/WDL/6122857811/CANARA ATM MYSURU,49.00,,122033.89
07/08/2022,07/08/2022,CHQ NO 938825 CLEARING,999.00,,121034.89
07/08/2022,07/08/2022,UPI/DR/000517181604/ARJUN MEHTA/ICIC0272108/arjun434@okaxis,1250.00,,119784.89
09/08/2022,10/08/2022,CHQ NO 256244 CLEARING,1250.00,,118534.89
09/08/2022,09/08/2022,NEFT/32606148/CHANDAN SHARMA/ICIC0272108/02795035072434,,18500.00,137034.89
09/08/2022,09/08/2022,UPI/CR/600489918014/ARJUN MEHTA/ICIC0272108/arjun669@ybl,,1200.00,138234.89
09/08/2022,09/08/2022,UPI/DR/263481000317/LATHA MURTHY/ICIC0272108/latha798@paytm,1250.00,,136984.89
09/08/2022,09/08/2022,UPI/DR/149601931340/VENKAT RAO/ICIC0272108/venkat98@oksbi,120.00,,136864.89
10/08/2022,10/08/2022,IMPS/P2P/13540582/RAJENDRA PRASAD/9608869879,,2500.00,139364.89
