Tran Date,Value Date,Transaction Particulars,Chq No,Debit,Credit,Balance
02/08/2022,03/08/2022,UPI/DR/7061441041/SUNITA DEVI/UTIB0760586/sunita440@paytm,TXN0267614,850.00,,108837.35
02/08/2022,02/08/2022,UPI/DR/36599772/HARISH MENON/UTIB0760586/harish594@oksbi,TXN0267615,1680.00,,107157.35
03/08/2022,03/08/2022,UPI/DR/6280477714/MOHAN DAS/UTIB0760586/mohan11@paytm,TXN0267616,7800.00,,99357.35
03/08/2022,03/08/2022,CHQ NO 725368 CLEARING,TXN0267617,1250.00,,98107.35
03/08/2022,03/08/2022,UPI/DR/4706391742/SUSHMA RAO/UTIB0760586/sushma687@ybl,TXN0267618,49.00,,98058.35
03/08/2022,04/08/2022,NEFT/88936729/VENKAT RAO/UTIB0760586/44594895719860,TXN0267619,79.00,,97979.35
03/08/2022,03/08/2022,UPI/DR/2383149744/PADMA RAO/UTIB0760586/padma27@paytm,TXN0267620,120.00,,97859.35
04/08/2022,04/08/2022,UPI/DR/5906799252/ARCHANA PILLAI/UTIB0760586/archana599@paytm,TXN0267621,3499.00,,94360.35
04/08/2022,04/08/2022,NEFT/3887260834/ANAND KUMAR/UTIB0760586/74092983017891,TXN0267622,310.00,,94050.35
04/08/2022,04/08/2022,CASH DEPOSIT/BRANCH COUNTER/MYSURU MAIN,TXN0267623,,7600.00,101650.35
05/08/2022,06/08/2022,UPI/DR/9413778878/ANAND KUMAR/UTIB0760586/anand518@okaxis,TXN0267624,79.00,,101571.35
05/08/2022,05/08/2022,UPI/CR/4666776538/SAVITHA DEVI/UTIB0760586/savitha652@okaxis,TXN0267625,,18500.00,120071.35
05/08/2022,05/08/2022,UPI/CR/312795156340/SHEELA DEVI/UTIB0760586/sheela345@ybl,TXN0267626,,24000.00,144071.35
06/08/2022,06/08/2022,CASH DEPOSIT/BRANCH COUNTER/MYSURU MAIN,TXN0267627,,1200.00,145271.35
06/08/2022,06/08/2022,IMPS/P2P/1841478008/ARJUN MEHTA/8250322867,TXN0267628,,4800.00,150071.35
06/08/2022,06/08/2022,ATM/WDL/79912803/HDFC ATM KORAMANGALA,TXN0267629,310.00,,149761.35
07/08/2022,08/08/2022,CHQ NO 774893 CLEARING,TXN0267630,449.00,,149312.35
07/08/2022,07/08/2022,UPI/DR/84376595/NILESH KULKARNI/UTIB0760586/nilesh166@paytm,TXN0267631,1250.00,,148062.35
07/08/2022,07/08/2022,ATM/WDL/210313859729/SBI ATM JAYANAGAR BLR,TXN0267632,7800.00,,140262.35
07/08/2022,07/08/2022,UPI/DR/01531474/KARTHIK MENON/UTIB0760586/karthik503@okaxis,TXN0267633,1680.00,,138582.35
07/08/2022,07/08/2022,UPI/DR/83900653/RAJENDRA PRASAD/UTIB0760586/rajendra139@okaxis,TXN0267634,310.00,,138272.35
09/08/2022,10/08/2022,UPI/DR/30546605/CHANDAN SHARMA/UTIB0760586/chandan419@okaxis,TXN0267635,120.00,,138152.35
09/08/2022,09/08/2022,NEFT/535542482932/NADIA HUSSAIN/UTIB0760586/82397842517855,TXN0267636,79.00,,138073.35
09/08/2022,09/08/2022,NEFT/61411358/SANTOSH KUMAR/UTIB0760586/02746893576537,TXN0267637,,850.00,138923.35
09/08/2022,09/08/2022,UPI/CR/047629516632/CHANDAN SHARMA/UTIB0760586/chandan173@ybl,TXN0267638,,32000.00,170923.35
10/08/2022,10/08/2022,CHQ NO 725003 CLEARING,TXN0267639,3499.00,,167424.35
10/08/2022,10/08/2022,NEFT/14811500/BINDHU NAIR/UTIB0760586/87235693244484,TXN0267640,249.00,,167175.35
11/08/2022,11/08/2022,NEFT/906685438299/KAVITHA RAO/UTIB0760586/88538874313240,TXN0267641,1250.00,,165925.35
11/08/2022,12/08/2022,CHQ NO 354316 CLEARING,TXN0267642,310.00,,165615.35
11/08/2022,12/08/2022,UPI/DR/41157548/PREETHI IYER/UTIB0760586/preethi680@ybl,TXN0267643,310.00,,165305.35
12/08/2022,12/08/2022,UPI/DR/9783240727/KAVITHA RAO/UTIB0760586/kavitha628@okaxis,TXN0267644,2380.00,,162925.35
13/08/2022,14/08/2022,CASH DEPOSIT/BRANCH COUNTER/MYSURU MAIN,TXN0267645,,850.00,163775.35
13/08/2022,13/08/2022,NEFT/4775428408/ANITHA KRISHNAN/UTIB0760586/29184752885115,TXN0267646,,1200.00,164975.35
13/08/2022,13/08/2022,ATM/WDL/121022841581/CANARA ATM MYSURU,TXN0267647,1250.00,,163725.35
13/08/2022,14/08/2022,CHQ NO 747705 CLEARING,TXN0267648,449.00,,163276.35
13/08/2022,13/08/2022,UPI/CR/4442018062/RAHUL SINGH/UTIB0760586/rahul927@okaxis,TXN0267649,,1200.00,164476.35
13/08/2022,13/08/2022,CHQ NO 161205 CLEARING,TXN0267650,7800.00,,156676.35
15/08/2022,15/08/2022,CASH DEPOSIT/BRANCH COUNTER/MYSURU MAIN,TXN0267651,,24000.00,180676.35
15/08/2022,15/08/2022,CASH DEPOSIT/BRANCH COUNTER/MYSURU MAIN,TXN0267652,,7600.00,188276.35
16/08/2022,16/08/2022,UPI/CR/74898555/MOHAMMED IRFAN/UTIB0760586/mohammed917@okaxis,TXN0267653,,32000.00,220276.35
16/08/2022,16/08/2022,UPI/DR/066502885023/LALITHA DEVI/UTIB0760586/lalitha137@okhdfc,TXN0267654,310.00,,219966.35
16/08/2022,16/08/2022,IMPS/P2P/59330142/NAVEEN KUMAR/7691420977,TXN0267655,,2500.00,222466.35
16/08/2022,17/08/2022,NEFT/7290959534/PREETHI IYER/UTIB0760586/60170095025645,TXN0267656,,24000.00,246466.35
17/08/2022,18/08/2022,NEFT/7696204877/NIKHIL GUPTA/UTIB0760586/12582045895080,TXN0267657,,1200.00,247666.35
17/08/2022,17/08/2022,NEFT/9595340031/SUNIL YADAV/UTIB0760586/68825889078531,TXN0267658,,2500.00,250166.35
17/08/2022,18/08/2022,CASH DEPOSIT/BRANCH COUNTER/MYSURU MAIN,TXN0267659,,7600.00,257766.35
17/08/2022,17/08/2022,UPI/CR/81920418/SUSHMA RAO/UTIB0760586/sushma717@oksbi,TXN0267660,,1200.00,258966.35
18/08/2022,19/08/2022,IMPS/P2P/0978292633/ROHIT SHARMA/9594487519,TXN0267661,,24000.00,282966.35
