Date,Particulars,Debit,Credit,Balance
01/08/2022,UPI/DR/28012748/RESHMA KHAN/CNRB0226879/reshma600@okhdfc,999.00,,270570.29
02/08/2022,UPI/CR/028358141473/ADITYA KUMAR/CNRB0226879/aditya348@ybl,,24000.00,294570.29
02/08/2022,UPI/DR/0717771023/RAVI KUMAR SHARMA/CNRB0226879/ravi404@oksbi,449.00,,294121.29
03/08/2022,CASH DEPOSIT/BRANCH COUNTER/MALLESWARAM BENGALURU,,850.00,294971.29
03/08/2022,IMPS/P2P/23266154/RAHUL SINGH/9427940486,,32000.00,326971.29
03/08/2022,NEFT/3968370542/KAVYA REDDY/CNRB0226879/07589777500595,,11200.00,338171.29
03/08/2022,UPI/DR/486310392429/SUSHMA RAO/CNRB0226879/sushma407@okhdfc,249.00,,337922.29
04/08/2022,IMPS/P2P/863153056637/IMRAN KHAN/8146276468,,500.00,338422.29
04/08/2022,UPI/DR/02381158/BINDHU NAIR/CNRB0226879/bindhu32@oksbi,999.00,,337423.29
06/08/2022,IMPS/P2P/79793849/KARTHIK MENON/9130315343,,850.00,338273.29
06/08/2022,CASH DEPOSIT/BRANCH COUNTER/MALLESWARAM BENGALURU,,1200.00,339473.29
08/08/2022,UPI/DR/88462965/NAVEEN KUMAR/CNRB0226879/naveen381@okaxis,249.00,,339224.29
08/08/2022,CASH DEPOSIT/BRANCH COUNTER/MALLESWARAM BENGALURU,,2500.00,341724.29
09/08/2022,NEFT/807492374032/RESHMA KHAN/CNRB0226879/20369217638203,,850.00,342574.29
10/08/2022,UPI/DR/932545592472/GANESH KUMAR/CNRB0226879/ganesh47@ybl,249.00,,342325.29
11/08/2022,UPI/CR/128807920107/RAJESH VERMA/CNRB0226879/rajesh781@okhdfc,,7600.00,349925.29
11/08/2022,CHQ NO 783333 CLEARING,1250.00,,348675.29
11/08/2022,NEFT/1921717809/DEEPAK JOSHI/CNRB0226879/50193856144718,,2500.00,351175.29
11/08/2022,IMPS/P2P/377855188068/AYESHA KHAN/9030215602,,2500.00,353675.29
11/08/2022,CASH DEPOSIT/BRANCH COUNTER/MALLESWARAM BENGALURU,,11200.00,364875.29
11/08/2022,NEFT/7554014863/DEEPAK JOSHI/CNRB0226879/86550896829163,,1200.00,366075.29
12/08/2022,UPI/DR/72731445/RAVI KUMAR SHARMA/CNRB0226879/ravi86@paytm,1680.00,,364395.29
12/08/2022,UPI/DR/041791114102/ANITHA KRISHNAN/CNRB0226879/anitha322@okhdfc,3499.00,,360896.29
12/08/2022,IMPS/P2P/9571027364/USHA RANI/8410965041,,850.00,361746.29
12/08/2022,NEFT/218826153855/ROHIT SHARMA/CNRB0226879/50520384095224,2380.00,,359366.29
13/08/2022,NEFT/1737387587/NILESH KULKARNI/CNRB0226879/46730777434506,,24000.00,383366.29
13/08/2022,UPI/DR/06936635/ADITYA KUMAR/CNRB0226879/aditya810@okhdfc,7800.00,,375566.29
14/08/2022,NEFT/222724048185/HARISH MENON/CNRB0226879/67577574303549,,24000.00,399566.29
14/08/2022,IMPS/P2P/518906623866/MEENA IYER/7471871862,,4800.00,404366.29
15/08/2022,UPI/CR/71813675/NILESH KULKARNI/CNRB0226879/nilesh746@okaxis,,18500.00,422866.29
15/08/2022,NEFT/602723446120/VIKRAM NAIR/CNRB0226879/68367882698265,,7600.00,430466.29
15/08/2022,CASH DEPOSIT/BRANCH COUNTER/MALLESWARAM BENGALURU,,1200.00,431666.29
15/08/2022,CHQ NO 204252 CLEARING,5200.00,,426466.29
15/08/2022,UPI/DR/67288342/PREETHI IYER/CNRB0226879/preethi443@okaxis,49.00,,426417.29
16/08/2022,IMPS/P2P/550473891495/PRAKASH RAO/7481331685,,850.00,427267.29
16/08/2022,UPI/CR/208146612137/VENKAT RAO/CNRB0226879/venkat853@okhdfc,,1200.00,428467.29
17/08/2022,IMPS/P2P/0790604911/PREETHI IYER/7800061547,,500.00,428967.29
17/08/2022,UPI/DR/78558728/RAJESH VERMA/CNRB0226879/rajesh269@okaxis,850.00,,428117.29
18/08/2022,CHQ NO 547765 CLEARING,449.00,,427668.29
19/08/2022,UPI/DR/705848779371/MEERA PILLAI/CNRB0226879/meera662@ybl,2380.00,,425288.29
19/08/2022,UPI/CR/109712884340/RAHUL SINGH/CNRB0226879/rahul97@ybl,,7600.00,432888.29
19/08/2022,CHQ NO 359554 CLEARING,49.00,,432839.29
20/08/2022,NEFT/61863078/IMRAN KHAN/CNRB0226879/89563032436086,79.00,,432760.29
20/08/2022,UPI/CR/6106904983/MALLIKA DAS/CNRB0226879/mallika20@ybl,,2500.00,435260.29
20/08/2022,ATM/WDL/64910130/CANARA ATM MYSURU,49.00,,435211.29
21/08/2022,UPI/DR/29189256/LAKSHMI VENKAT/CNRB0226879/lakshmi214@oksbi,79.00,,435132.29
21/08/2022,UPI/DR/944472122895/SURESH NAIR/CNRB0226879/suresh819@ybl,310.00,,434822.29
23/08/2022,UPI/DR/16465060/RAMESH GOWDA/CNRB0226879/ramesh650@oksbi,699.00,,434123.29
23/08/2022,UPI/DR/8368681081/NILESH KULKARNI/CNRB0226879/nilesh417@okaxis,7800.00,,426323.29
23/08/2022,NEFT/8684711086/NILESH KULKARNI/CNRB0226879/50471835424750,49.00,,426274.29
25/08/2022,CHQ NO 960126 CLEARING,79.00,,426195.29
25/08/2022,UPI/DR/6427352000/ARJUN MEHTA/CNRB0226879/arjun610@okhdfc,310.00,,425885.29
25/08/2022,ATM/WDL/638431694512/SBI ATM JAYANAGAR BLR,249.00,,425636.29
26/08/2022,CASH DEPOSIT/BRANCH COUNTER/MALLESWARAM BENGALURU,,24000.00,449636.29
26/08/2022,UPI/DR/2049543697/NADIA HUSSAIN/CNRB0226879/nadia750@okaxis,120.00,,449516.29
26/08/2022,UPI/CR/5204831946/RAJESH VERMA/CNRB0226879/rajesh721@okaxis,,4800.00,454316.29
27/08/2022,UPI/DR/5682597132/GEETA DEVI/CNRB0226879/geeta648@okhdfc,699.00,,453617.29
27/08/2022,ATM/WDL/239729385258/SBI ATM JAYANAGAR BLR,310.00,,453307.29
27/08/2022,UPI/DR/58428939/RANJIT SINGH/CNRB0226879/ranjit72@okaxis,7800.00,,445507.29
28/08/2022,UPI/DR/094392609899/VENKAT RAO/CNRB0226879/venkat392@okhdfc,850.00,,444657.29
28/08/2022,ATM/WDL/016980209648/SBI ATM JAYANAGAR BLR,3499.00,,441158.29
29/08/2022,UPI/DR/05628440/POOJA SHARMA/CNRB0226879/pooja478@paytm,79.00,,441079.29
30/08/2022,UPI/DR/37244275/NAVEEN KUMAR/CNRB0226879/naveen765@okaxis,310.00,,440769.29
30/08/2022,ATM/WDL/4885179400/HDFC ATM KORAMANGALA,2380.00,,438389.29
30/08/2022,CHQ NO 768838 CLEARING,3499.00,,434890.29
31/08/2022,NEFT/794455963321/SANJANA HEGDE,4800.00,,430090.29
31/08/2022,CHQ NO 894260 CLEARING,5200.00,,424890.29
31/08/2022,UPI/DR/033096204727/MOHAMMED IRFAN/CNRB0226879/mohammed271@paytm,49.00,,424841.29
