Transaction Date,Particulars,Chq/Ref No,Debit,Credit,Balance
01/08/2022,UPI/DR/69417920/MOHAN DAS/PUNB0368283/mohan109@okhdfc,TXN0271568,3499.00,,78434.52
02/08/2022,UPI/DR/894093942468/RAJESH VERMA/PUNB0368283/rajesh270@okaxis,TXN0271569,7800.00,,70634.52
02/08/2022,NEFT/144684643698/ADITYA KUMAR/PUNB0368283/12681357386406,TXN0271570,49.00,,70585.52
03/08/2022,IMPS/P2P/641341120737/RAJESH VERMA/7345676257,TXN0271571,,18500.00,89085.52
03/08/2022,ATM/WDL/80021923/SBI ATM JAYANAGAR BLR,TXN0271572,5200.00,,83885.52
03/08/2022,NEFT/48867346/FATIMA SHEIKH/PUNB0368283/55368963961925,TXN0271573,699.00,,83186.52
04/08/2022,ATM/WDL/8252320305/CANARA ATM MYSURU,TXN0271574,5200.00,,77986.52
05/08/2022,UPI/DR/998611827179/TANVI RAO/PUNB0368283/tanvi291@okaxis,TXN0271575,2380.00,,75606.52
05/08/2022,ATM/WDL/433274432601/SBI ATM JAYANAGAR BLR,TXN0271576,2380.00,,73226.52
05/08/2022,IMPS/P2P/321868364527/BABU LAL/7587890039,TXN0271577,,500.00,73726.52
06/08/2022,UPI/CR/81588792/KARTHIK MENON/PUNB0368283/karthik412@ybl,TXN0271578,,11200.00,84926.52
08/08/2022,UPI/DR/59753958/MEENA IYER/PUNB0368283/meena307@okhdfc,TXN0271579,1680.00,,83246.52
08/08/2022,UPI/DR/48855066/BABU LAL/PUNB0368283/babu892@okhdfc,TXN0271580,850.00,,82396.52
08/08/2022,NEFT/613747203650/LAKSHMI VENKAT/PUNB0368283/68294587591389,TXN0271581,,850.00,83246.52
09/08/2022,IMPS/P2P/4712311463/ANAND KUMAR/8244598699,TXN0271582,,500.00,83746.52
09/08/2022,CHQ NO 588508 CLEARING,TXN0271583,1250.00,,82496.52
09/08/2022,UPI/DR/03728680/SURESH BABU/PUNB0368283/suresh972@ybl,TXN0271584,49.00,,82447.52
10/08/2022,NEFT/8515838383/NILESH KULKARNI/PUNB0368283/84359792406179,TXN0271585,120.00,,82327.52
10/08/2022,NEFT/66437286/SUNITA DEVI/PUNB0368283/16303388587749,TXN0271586,,850.00,83177.52
10/08/2022,NEFT/126752568273/RAMESH GOWDA/PUNB0368283/79236994409860,TXN0271587,249.00,,82928.52
